"E0",,,,,"E1",,,,"Analog",,,,,
"Index [1]","?L/L0 [1]","?L [mm]","L1 [mm]","L0 [mm]","?L/L0 [1]","?L [mm]","L1 [mm]","L0 [mm]","Time_1","Time_0","Dev1/ai0","Dev1/ai1","Force_[N]","Strain_[%]"
0,0,0,9.45362,9.45362,0,0,5.66694,5.66694,0,0.004,-0.0312,9.9765,-81.5978,20.0012
1,-3.4221e-05,-0.000323513,9.4533,9.45362,-3.35731e-05,-0.000190257,5.66675,5.66694,1.654,1.654,-0.0251,9.9659,-66.2475,19.9798
2,-1.75699e-05,-0.0001661,9.45346,9.45362,6.65282e-05,0.000377011,5.66732,5.66694,2.028,2.028,-0.0164,9.9775,-44.434,20.0031
3,-8.52565e-05,-0.000805983,9.45282,9.45362,0.000377587,0.00213976,5.66908,5.66694,3.278,3.278,-0.0525,9.9743,-134.92,19.9966
4,-4.35413e-05,-0.000411623,9.45321,9.45362,5.79868e-05,0.000328608,5.66727,5.66694,3.524,3.525,-0.0718,9.9769,-183.394,20.0018
5,-5.15247e-05,-0.000487095,9.45314,9.45362,9.75022e-06,5.52539e-05,5.667,5.66694,3.65,3.65,-0.0793,9.9762,-201.976,20.0005
6,-1.31066e-05,-0.000123905,9.4535,9.45362,-4.41421e-05,-0.000250151,5.66669,5.66694,3.838,3.838,-0.1015,9.9788,-257.722,20.0057
7,-3.47406e-05,-0.000328425,9.45329,9.45362,-9.89043e-05,-0.000560485,5.66638,5.66694,3.965,3.965,-0.1234,9.9785,-312.66,20.005
8,-1.98418e-05,-0.000187577,9.45344,9.45362,-2.97817e-05,-0.000168771,5.66677,5.66694,4.151,4.151,-0.1405,9.9749,-355.479,19.9979
9,-8.97092e-05,-0.000848077,9.45278,9.45362,-7.609e-05,-0.000431198,5.66651,5.66694,4.339,4.339,-0.156,9.974,-394.259,19.996
10,-0.000140076,-0.00132423,9.4523,9.45362,-4.02609e-05,-0.000228156,5.66671,5.66694,4.462,4.462,-0.1824,9.9704,-460.507,19.9889
11,-0.000172268,-0.00162855,9.45199,9.45362,-3.62163e-05,-0.000205236,5.66673,5.66694,4.649,4.649,-0.2046,9.9765,-516.253,20.0012
12,-0.000217261,-0.0020539,9.45157,9.45362,7.00486e-05,0.000396961,5.66734,5.66694,4.836,4.837,-0.2278,9.9743,-574.422,19.9966
13,-0.000209214,-0.00197783,9.45165,9.45362,9.17694e-05,0.000520052,5.66746,5.66694,4.961,4.961,-0.2468,9.9814,-622.089,20.0109
14,-0.000254029,-0.00240149,9.45122,9.45362,0.000130517,0.000739632,5.66768,5.66694,5.086,5.086,-0.2736,9.9698,-689.146,19.9876
15,-0.000221548,-0.00209443,9.45153,9.45362,4.62135e-05,0.000261889,5.6672,5.66694,5.212,5.212,-0.291,9.9743,-732.773,19.9966
16,-0.000170225,-0.00160924,9.45201,9.45362,-1.01186e-05,-5.73416e-05,5.66688,5.66694,5.337,5.337,-0.3039,9.9759,-765.089,19.9999
17,-0.000184681,-0.0017459,9.45188,9.45362,6.56365e-05,0.000371958,5.66731,5.66694,5.462,5.462,-0.3197,9.9775,-804.677,20.0031
18,-0.000208354,-0.0019697,9.45165,9.45362,0.000109956,0.000623112,5.66756,5.66694,5.586,5.586,-0.3509,9.9707,-883.044,19.9895
19,-0.000230368,-0.00217782,9.45145,9.45362,7.45551e-05,0.000422499,5.66736,5.66694,5.709,5.709,-0.3796,9.9749,-954.948,19.9979
20,-0.000291467,-0.00275542,9.45087,9.45362,4.40128e-05,0.000249418,5.66719,5.66694,5.896,5.896,-0.4135,9.9788,-1039.78,20.0057
21,-0.000379758,-0.00359009,9.45003,9.45362,0.000399732,0.00226526,5.66921,5.66694,6.086,6.086,-0.4434,9.9804,-1114.91,20.0089
22,-0.000425361,-0.0040212,9.4496,9.45362,-8.10511e-05,-0.000459312,5.66648,5.66694,6.208,6.209,-0.4702,9.9798,-1181.97,20.0076
