Time,Extension,Load,Compressive stress,Compressive strain (Extension)
(s),(mm),(N),(MPa),(mm/mm)
"0.00000","0.00000","38.47190","0.79165","0.00000"
"0.10000","0.00038","41.51818","0.85433","0.00000"
"0.20000","0.00143","51.89437","1.06784","0.00001"
"0.30000","0.00386","77.33604","1.59136","0.00004"
"0.40000","0.00665","106.76717","2.19697","0.00007"
"0.50000","0.00848","126.24810","2.59784","0.00008"
"0.60000","0.01120","157.10069","3.23270","0.00011"
"0.70000","0.01319","178.57014","3.67448","0.00013"
"0.80000","0.01512","198.85605","4.09191","0.00015"
"0.90000","0.01753","218.96399","4.50567","0.00018"
"1.00000","0.01942","229.18552","4.71600","0.00019"
"1.10000","0.02187","244.66664","5.03456","0.00022"
"1.20000","0.02414","252.22803","5.19015","0.00024"
"1.30000","0.02592","260.75357","5.36559","0.00026"
"1.40000","0.02845","278.58557","5.73252","0.00028"
"1.50000","0.03035","285.90747","5.88318","0.00030"
"1.60000","0.03245","301.09036","6.19561","0.00032"
"1.70000","0.03517","321.50638","6.61571","0.00035"
"1.80000","0.03686","331.05347","6.81216","0.00037"
"1.90000","0.03914","353.21078","7.26810","0.00039"
"2.00000","0.04128","370.89102","7.63191","0.00041"
"2.10000","0.04324","388.31866","7.99052","0.00043"
"2.20000","0.04598","418.33542","8.60818","0.00046"
"2.30000","0.04776","432.51709","8.90000","0.00048"
"2.40000","0.04988","455.65390","9.37610","0.00050"
"2.50000","0.05220","480.79825","9.89350","0.00052"
"2.60000","0.05404","499.11844","10.27048","0.00054"
"2.70000","0.05662","531.14056","10.92940","0.00057"
"2.80000","0.05877","553.06519","11.38055","0.00059"
"2.90000","0.06063","573.15167","11.79387","0.00061"
"3.00000","0.06309","604.08002","12.43029","0.00063"
"3.10000","0.06499","624.67279","12.85404","0.00065"
"3.20000","0.06719","652.50482","13.42674","0.00067"
"3.30000","0.06974","684.48486","14.08480","0.00070"
"3.40000","0.07143","702.83240","14.46235","0.00071"
"3.50000","0.07394","738.39703","15.19417","0.00074"
"3.60000","0.07594","762.35889","15.68724","0.00076"
"3.70000","0.07789","787.32629","16.20100","0.00078"
"3.80000","0.08066","828.21045","17.04228","0.00081"
"3.90000","0.08241","848.37415","17.45719","0.00082"
"4.00000","0.08459","879.89502","18.10580","0.00085"
"4.10000","0.08685","911.11707","18.74827","0.00087"
"4.20000","0.08876","936.05426","19.26141","0.00089"
"4.30000","0.09139","976.48462","20.09335","0.00091"
"4.40000","0.09336","1001.13666","20.60062","0.00093"
"4.50000","0.09530","1028.12476","21.15596","0.00095"
"4.60000","0.09787","1067.64038","21.96908","0.00098"
"4.70000","0.09958","1089.55066","22.41994","0.00100"
"4.80000","0.10190","1126.56982","23.18169","0.00102"
"4.90000","0.10438","1164.46631","23.96149","0.00104"
"5.00000","0.10612","1187.60547","24.43763","0.00106"
"5.10000","0.10863","1228.65845","25.28239","0.00109"
"5.20000","0.11052","1254.75427","25.81937","0.00111"
"5.30000","0.11254","1285.44543","26.45091","0.00113"
"5.40000","0.11529","1331.09900","27.39033","0.00115"
"5.50000","0.11698","1352.86938","27.83831","0.00117"
"5.60000","0.11932","1391.11694","28.62534","0.00119"
"5.70000","0.12153","1424.80530","29.31855","0.00122"
"5.80000","0.12341","1452.23511","29.88298","0.00123"
"5.90000","0.12607","1497.52893","30.81500","0.00126"
"6.00000","0.12798","1524.12390","31.36225","0.00128"
"6.10000","0.12995","1554.07922","31.97865","0.00130"
"6.20000","0.13254","1597.26440","32.86728","0.00133"
"6.30000","0.13426","1620.80139","33.35161","0.00134"
"6.40000","0.13671","1663.37659","34.22769","0.00137"
"6.50000","0.13894","1698.59656","34.95242","0.00139"
"6.60000","0.14075","1725.52576","35.50655","0.00141"
"6.70000","0.14335","1772.13330","36.46560","0.00143"
"6.80000","0.14516","1798.87939","37.01596","0.00145"
"6.90000","0.14725","1833.80884","37.73471","0.00147"
"7.00000","0.15000","1883.53674","38.75797","0.00150"
"7.10000","0.15162","1906.30457","39.22647","0.00152"
"7.20000","0.15400","1950.19043","40.12952","0.00154"
"7.30000","0.15617","1988.24829","40.91265","0.00156"
"7.40000","0.15805","2021.54688","41.59784","0.00158"
"7.50000","0.16078","2077.35718","42.74626","0.00161"
"7.60000","0.16256","2108.08862","43.37863","0.00163"
"7.70000","0.16466","2149.27783","44.22619","0.00165"
"7.80000","0.16714","2199.29175","45.25534","0.00167"
"7.90000","0.16892","2231.58057","45.91975","0.00169"
"8.00000","0.17149","2285.38721","47.02694","0.00171"
"8.10000","0.17352","2323.00122","47.80093","0.00174"
"8.20000","0.17538","2358.08716","48.52291","0.00175"
"8.30000","0.17801","2413.08472","49.65461","0.00178"
"8.40000","0.17986","2447.36694","50.36004","0.00180"
"8.50000","0.18201","2490.59790","51.24961","0.00182"
"8.60000","0.18458","2543.70801","52.34247","0.00185"
"8.70000","0.18625","2573.64258","52.95844","0.00186"
"8.80000","0.18871","2626.04199","54.03667","0.00189"
"8.90000","0.19074","2665.44751","54.84753","0.00191"
"9.00000","0.19273","2705.04663","55.66237","0.00193"
"9.10000","0.19552","2766.38281","56.92450","0.00196"
"9.20000","0.19717","2796.17114","57.53746","0.00197"
"9.30000","0.19935","2842.91016","58.49922","0.00199"
"9.40000","0.20179","2895.49634","59.58130","0.00202"
"9.50000","0.20357","2930.55786","60.30277","0.00204"
"9.60000","0.20620","2990.64087","61.53911","0.00206"
"9.70000","0.20816","3030.11401","62.35136","0.00208"
"9.80000","0.21013","3071.29883","63.19883","0.00210"
"9.90000","0.21265","3128.13965","64.36845","0.00213"
"10.00000","0.21448","3165.07031","65.12839","0.00214"
"10.10000","0.21681","3217.59253","66.20915","0.00217"
"10.20000","0.21920","3270.46484","67.29711","0.00219"
"10.30000","0.22094","3305.38867","68.01575","0.00221"
"10.40000","0.22341","3363.02344","69.20171","0.00223"
"10.50000","0.22541","3404.98462","70.06516","0.00225"
"10.60000","0.22741","3448.53589","70.96133","0.00227"
"10.70000","0.23015","3513.63379","72.30086","0.00230"
"10.80000","0.23184","3546.81567","72.98365","0.00232"
"10.90000","0.23405","3597.28906","74.02225","0.00234"
"11.00000","0.23626","3646.22485","75.02921","0.00236"
"11.10000","0.23824","3688.43750","75.89783","0.00238"
"11.20000","0.24097","3754.20898","77.25123","0.00241"
"11.30000","0.24282","3791.33521","78.01518","0.00243"
"11.40000","0.24476","3832.79370","78.86829","0.00245"
"11.50000","0.24730","3892.23315","80.09138","0.00247"
"11.60000","0.24910","3928.12573","80.82996","0.00249"
"11.70000","0.25152","3985.05859","82.00147","0.00252"
"11.80000","0.25380","4034.51611","83.01917","0.00254"
"11.90000","0.25565","4072.09180","83.79238","0.00256"
"12.00000","0.25809","4128.10303","84.94493","0.00258"
"12.10000","0.25999","4166.76074","85.74040","0.00260"
"12.20000","0.26219","4215.66504","86.74672","0.00262"
"12.30000","0.26478","4275.05127","87.96872","0.00265"
"12.40000","0.26646","4306.29834","88.61170","0.00266"
"12.50000","0.26880","4359.61865","89.70889","0.00269"
"12.60000","0.27100","4406.50000","90.67358","0.00271"
"12.70000","0.27284","4443.29980","91.43081","0.00273"
"12.80000","0.27571","4512.72949","92.85948","0.00276"
"12.90000","0.27746","4544.93604","93.52220","0.00277"
"13.00000","0.27947","4587.40527","94.39610","0.00279"
"13.10000","0.28186","4640.86816","95.49622","0.00282"
"13.20000","0.28374","4678.05713","96.26147","0.00284"
"13.30000","0.28634","4739.26611","97.52098","0.00286"
"13.40000","0.28839","4780.24316","98.36417","0.00288"
"13.50000","0.29027","4817.82764","99.13756","0.00290"
"13.60000","0.29279","4875.20654","100.31826","0.00293"
"13.70000","0.29462","4910.16699","101.03764","0.00295"
"13.80000","0.29689","4960.38135","102.07092","0.00297"
"13.90000","0.29941","5015.79199","103.21111","0.00299"
"14.00000","0.30112","5046.85547","103.85032","0.00301"
"14.10000","0.30352","5100.97607","104.96397","0.00304"
"14.20000","0.30559","5142.59326","105.82034","0.00306"
"14.30000","0.30758","5182.79248","106.64752","0.00308"
"14.40000","0.31036","5247.44189","107.97783","0.00310"
"14.50000","0.31200","5274.85303","108.54188","0.00312"
"14.60000","0.31425","5323.84473","109.54999","0.00314"
"14.70000","0.31655","5372.77148","110.55677","0.00317"
"14.80000","0.31838","5407.45020","111.27036","0.00318"
"14.90000","0.32104","5469.64502","112.55016","0.00321"
"15.00000","0.32301","5507.21436","113.32323","0.00323"
"15.10000","0.32499","5547.23242","114.14669","0.00325"
"15.20000","0.32742","5600.56006","115.24403","0.00327"
"15.30000","0.32931","5636.41943","115.98191","0.00329"
"15.40000","0.33168","5689.28906","117.06982","0.00332"
"15.50000","0.33401","5738.34277","118.07921","0.00334"
"15.60000","0.33577","5770.54150","118.74178","0.00336"
"15.70000","0.33832","5829.53564","119.95571","0.00338"
"15.80000","0.34018","5864.02051","120.66531","0.00340"
"15.90000","0.34224","5906.65088","121.54253","0.00342"
"16.00000","0.34496","5969.51025","122.83600","0.00345"
"16.10000","0.34666","5998.53809","123.43331","0.00347"
"16.20000","0.34901","6050.93311","124.51146","0.00349"
"16.30000","0.35116","6094.54590","125.40889","0.00351"
"16.40000","0.35301","6129.69531","126.13216","0.00353"
"16.50000","0.35575","6194.10889","127.45762","0.00356"
"16.60000","0.35762","6228.35742","128.16235","0.00358"
