General : End date,"3/27/2025"
Maximum Load : Time at Maximum Load,,s
Maximum Load : Maximum Load,,N
Maximum Load : Compressive stress at Maximum Load,,MPa
Maximum Load : Compressive strain (Extension) at Maximum Load,,mm/mm
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Test : Rate 1,"1.20000",mm/min

Time,Extension,Load,Compressive stress,Compressive strain (Extension)
(s),(mm),(N),(MPa),(mm/mm)
"0.00000","0.00000","5.08950","0.08637","0.00000"
"0.10000","0.00027","6.11348","0.10375","0.00000"
"0.20000","0.00110","9.37500","0.15909","0.00001"
"0.30000","0.00358","21.21347","0.35999","0.00004"
"0.40000","0.00565","31.78951","0.53947","0.00006"
"0.50000","0.00820","45.14233","0.76607","0.00008"
"0.60000","0.00988","52.98756","0.89920","0.00010"
"0.70000","0.01181","61.56853","1.04482","0.00012"
"0.80000","0.01434","71.56413","1.21445","0.00014"
"0.90000","0.01596","76.40905","1.29666","0.00016"
"1.00000","0.01798","82.74242","1.40414","0.00018"
"1.10000","0.02012","88.96771","1.50979","0.00020"
"1.20000","0.02187","94.87415","1.61002","0.00022"
"1.30000","0.02406","103.14172","1.75032","0.00024"
"1.40000","0.02628","109.91468","1.86526","0.00026"
"1.50000","0.02788","115.49116","1.95989","0.00028"
"1.60000","0.03018","125.04410","2.12200","0.00030"
"1.70000","0.03205","130.85275","2.22058","0.00032"
"1.80000","0.03376","137.93875","2.34083","0.00034"
"1.90000","0.03625","149.13272","2.53079","0.00036"
"2.00000","0.03819","156.06432","2.64842","0.00038"
"2.10000","0.03986","163.15445","2.76874","0.00040"
"2.20000","0.04221","174.39610","2.95951","0.00042"
"2.30000","0.04396","181.01457","3.07182","0.00044"
"2.40000","0.04576","189.45113","3.21499","0.00046"
"2.50000","0.04835","201.93204","3.42679","0.00048"
"2.60000","0.05001","208.37332","3.53610","0.00050"
"2.70000","0.05186","217.63867","3.69334","0.00052"
"2.80000","0.05429","229.37363","3.89248","0.00054"
"2.90000","0.05592","236.04568","4.00570","0.00056"
"3.00000","0.05787","246.08429","4.17606","0.00058"
"3.10000","0.06035","257.60983","4.37165","0.00060"
"3.20000","0.06193","264.23175","4.48402","0.00062"
"3.30000","0.06395","274.70056","4.66168","0.00064"
"3.40000","0.06621","284.89978","4.83476","0.00066"
"3.50000","0.06783","292.39059","4.96188","0.00068"
"3.60000","0.07008","304.69751","5.17073","0.00070"
"3.70000","0.07222","313.82507","5.32562","0.00072"
"3.80000","0.07387","321.96872","5.46382","0.00074"
"3.90000","0.07615","335.14188","5.68737","0.00076"
