General : End date,"3/27/2025"
Maximum Load : Time at Maximum Load,"29.50000",s
Maximum Load : Maximum Load,"4627.73535",N
Maximum Load : Compressive stress at Maximum Load,"74.12228",MPa
Maximum Load : Compressive strain (Extension) at Maximum Load,"0.00588",mm/mm
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Test : Rate 1,"1.20000",mm/min

Time,Extension,Load,Compressive stress,Compressive strain (Extension)
(s),(mm),(N),(MPa),(mm/mm)
"0.00000","0.00000","12.92108","0.20696","0.00000"
"0.10000","0.00036","13.45412","0.21549","0.00000"
"0.20000","0.00124","15.11531","0.24210","0.00001"
"0.30000","0.00347","19.57692","0.31356","0.00003"
"0.40000","0.00605","24.59081","0.39387","0.00006"
"0.50000","0.00778","27.62538","0.44247","0.00008"
"0.60000","0.01031","32.21740","0.51602","0.00010"
"0.70000","0.01211","34.84606","0.55813","0.00012"
"0.80000","0.01381","37.03639","0.59321","0.00014"
"0.90000","0.01621","40.22193","0.64423","0.00016"
"1.00000","0.01796","41.76538","0.66895","0.00018"
"1.10000","0.01986","43.39249","0.69502","0.00020"
"1.20000","0.02245","45.92466","0.73557","0.00022"
"1.30000","0.02399","46.23124","0.74048","0.00024"
"1.40000","0.02591","47.53854","0.76142","0.00026"
"1.50000","0.02827","49.52822","0.79329","0.00028"
"1.60000","0.02997","50.19809","0.80402","0.00030"
"1.70000","0.03194","51.36188","0.82266","0.00032"
"1.80000","0.03434","52.96646","0.84836","0.00034"
"1.90000","0.03596","53.58587","0.85828","0.00036"
"2.00000","0.03806","55.41506","0.88758","0.00038"
"2.10000","0.04012","56.69261","0.90804","0.00040"
"2.20000","0.04190","57.58668","0.92236","0.00042"
"2.30000","0.04421","59.81954","0.95813","0.00044"
"2.40000","0.04624","60.54707","0.96978","0.00046"
"2.50000","0.04789","61.51059","0.98521","0.00048"
"2.60000","0.05013","63.51969","1.01739","0.00050"
"2.70000","0.05206","64.43835","1.03211","0.00052"
"2.80000","0.05385","65.59399","1.05062","0.00054"
"2.90000","0.05639","67.99527","1.08908","0.00056"
"3.00000","0.05815","68.47594","1.09678","0.00058"
"3.10000","0.05986","69.59712","1.11473","0.00060"
"3.20000","0.06221","71.75697","1.14933","0.00062"
"3.30000","0.06396","72.67403","1.16402","0.00064"
"3.40000","0.06591","74.00904","1.18540","0.00066"
"3.50000","0.06841","76.34148","1.22276","0.00068"
"3.60000","0.07006","76.79498","1.23002","0.00070"
"3.70000","0.07193","78.41785","1.25602","0.00072"
"3.80000","0.07422","80.49624","1.28931","0.00074"
