General : End date,"3/27/2025"
Maximum Load : Time at Maximum Load,,s
Maximum Load : Maximum Load,,N
Maximum Load : Compressive stress at Maximum Load,,MPa
Maximum Load : Compressive strain (Extension) at Maximum Load,,mm/mm
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Test : Rate 1,"1.20000",mm/min

Time,Extension,Load,Compressive stress,Compressive strain (Extension)
(s),(mm),(N),(MPa),(mm/mm)
"0.00000","0.00000","13.90764","0.26340","0.00000"
"0.10000","0.00030","14.39908","0.27271","0.00000"
"0.20000","0.00125","16.00193","0.30307","0.00001"
"0.30000","0.00343","20.27754","0.38404","0.00003"
"0.40000","0.00584","25.23199","0.47788","0.00006"
"0.50000","0.00828","30.10239","0.57012","0.00008"
"0.60000","0.00983","32.92558","0.62359","0.00010"
"0.70000","0.01204","37.05389","0.70178","0.00012"
"0.80000","0.01408","40.34311","0.76407","0.00014"
"0.90000","0.01583","43.45743","0.82306","0.00016"
"1.00000","0.01825","48.48778","0.91833","0.00018"
"1.10000","0.02010","51.80730","0.98120","0.00020"
"1.20000","0.02188","55.92584","1.05920","0.00022"
"1.30000","0.02423","61.77835","1.17004","0.00024"
"1.40000","0.02601","65.74988","1.24526","0.00026"
"1.50000","0.02785","70.25203","1.33053","0.00028"
"1.60000","0.03044","75.38551","1.42776","0.00030"
"1.70000","0.03204","75.98532","1.43912","0.00032"
"1.80000","0.03391","79.35664","1.50297","0.00034"
"1.90000","0.03621","83.31844","1.57800","0.00036"
"2.00000","0.03794","85.82823","1.62553","0.00038"
"2.10000","0.03995","89.69975","1.69886","0.00040"
"2.20000","0.04240","93.67038","1.77406","0.00042"
"2.30000","0.04396","95.49924","1.80870","0.00044"
"2.40000","0.04596","99.66696","1.88763","0.00046"
"2.50000","0.04809","102.78838","1.94675","0.00048"
"2.60000","0.04989","105.62909","2.00055","0.00050"
"2.70000","0.05221","110.54267","2.09361","0.00052"
"2.80000","0.05423","112.50822","2.13084","0.00054"
"2.90000","0.05591","115.01822","2.17838","0.00056"
"3.00000","0.05811","119.68327","2.26673","0.00058"
"3.10000","0.06007","121.67455","2.30444","0.00060"
"3.20000","0.06182","124.38866","2.35585","0.00062"
"3.30000","0.06433","129.77153","2.45779","0.00064"
"3.40000","0.06615","131.02753","2.48158","0.00066"
"3.50000","0.06793","133.84190","2.53488","0.00068"
"3.60000","0.07020","137.84109","2.61063","0.00070"
"3.70000","0.07196","139.56831","2.64334","0.00072"
"3.80000","0.07387","142.77000","2.70398","0.00074"
"3.90000","0.07643","146.59872","2.77649","0.00076"
"4.00000","0.07807","147.64417","2.79629","0.00078"
"4.10000","0.07990","150.00012","2.84091","0.00080"
"4.20000","0.08225","152.69070","2.89187","0.00082"
"4.30000","0.08392","152.61014","2.89034","0.00084"
"4.40000","0.08597","154.50465","2.92622","0.00086"
"4.50000","0.08839","154.35352","2.92336","0.00088"
"4.60000","0.08999","152.35789","2.88557","0.00090"
"4.70000","0.09201","151.72636","2.87361","0.00092"
"4.80000","0.09411","149.84076","2.83789","0.00094"
"4.90000","0.09588","148.00676","2.80316","0.00096"
"5.00000","0.09824","149.26680","2.82702","0.00098"
"5.10000","0.10022","147.27333","2.78927","0.00100"
"5.20000","0.10190","146.61615","2.77682","0.00102"
"5.30000","0.10418","148.49782","2.81246","0.00104"
"5.40000","0.10601","147.74867","2.79827","0.00106"
"5.50000","0.10776","147.84813","2.80015","0.00108"
"5.60000","0.11037","151.07834","2.86133","0.00110"
"5.70000","0.11215","149.50737","2.83158","0.00112"
"5.80000","0.11391","149.66936","2.83465","0.00114"
"5.90000","0.11621","151.58391","2.87091","0.00116"
"6.00000","0.11797","150.90601","2.85807","0.00118"
"6.10000","0.11986","151.97792","2.87837","0.00120"
"6.20000","0.12245","154.58936","2.92783","0.00122"
"6.30000","0.12398","153.19484","2.90142","0.00124"
"6.40000","0.12593","154.85188","2.93280","0.00126"
"6.50000","0.12824","156.36983","2.96155","0.00128"
"6.60000","0.12992","156.04617","2.95542","0.00130"
"6.70000","0.13198","158.33969","2.99886","0.00132"
"6.80000","0.13434","159.42401","3.01939","0.00134"
"6.90000","0.13595","159.17209","3.01462","0.00136"
"7.00000","0.13808","161.64046","3.06137","0.00138"
"7.10000","0.14012","162.47649","3.07721","0.00140"
"7.20000","0.14188","163.55173","3.09757","0.00142"
"7.30000","0.14425","167.88356","3.17961","0.00144"
"7.40000","0.14622","168.48837","3.19107","0.00146"
"7.50000","0.14788","170.13052","3.22217","0.00148"
"7.60000","0.15027","174.93590","3.31318","0.00150"
"7.70000","0.15199","175.88863","3.33122","0.00152"
"7.80000","0.15378","179.06053","3.39130","0.00154"
"7.90000","0.15637","185.41576","3.51166","0.00156"
"8.00000","0.15814","187.24593","3.54632","0.00158"
"8.10000","0.15990","191.04701","3.61831","0.00160"
"8.20000","0.16227","196.82028","3.72766","0.00162"
"8.30000","0.16393","199.35738","3.77571","0.00164"
"8.40000","0.16583","204.39087","3.87104","0.00166"
"8.50000","0.16838","210.92473","3.99479","0.00168"
"8.60000","0.16998","213.66328","4.04665","0.00170"
"8.70000","0.17196","219.79657","4.16281","0.00172"
"8.80000","0.17427","225.23756","4.26586","0.00174"
"8.90000","0.17591","229.00806","4.33727","0.00176"
"9.00000","0.17802","235.51271","4.46047","0.00178"
"9.10000","0.18029","240.97403","4.56390","0.00180"
"9.20000","0.18191","244.78584","4.63610","0.00182"
"9.30000","0.18408","252.18504","4.77623","0.00184"
"9.40000","0.18615","257.02411","4.86788","0.00186"
