General : End date,"3/27/2025"
Maximum Load : Time at Maximum Load,"45.80000",s
Maximum Load : Maximum Load,"15010.60156",N
Maximum Load : Compressive stress at Maximum Load,"253.15123",MPa
Maximum Load : Compressive strain (Extension) at Maximum Load,"0.00914",mm/mm
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Test : Rate 1,"1.20000",mm/min

Time,Extension,Load,Compressive stress,Compressive strain (Extension)
(s),(mm),(N),(MPa),(mm/mm)
"0.00000","0.00000","14.45093","0.24371","0.00000"
"0.10000","0.00032","15.54966","0.26224","0.00000"
"0.20000","0.00134","20.23237","0.34122","0.00001"
"0.30000","0.00363","32.66986","0.55097","0.00004"
"0.40000","0.00585","46.02334","0.77618","0.00006"
"0.50000","0.00811","60.68266","1.02340","0.00008"
"0.60000","0.00988","72.35252","1.22021","0.00010"
"0.70000","0.01219","84.70062","1.42846","0.00012"
"0.80000","0.01428","89.24986","1.50518","0.00014"
"0.90000","0.01592","93.58376","1.57827","0.00016"
"1.00000","0.01812","100.26270","1.69091","0.00018"
"1.10000","0.02012","104.57251","1.76360","0.00020"
"1.20000","0.02184","109.39878","1.84499","0.00022"
"1.30000","0.02440","116.71101","1.96831","0.00024"
"1.40000","0.02621","120.18642","2.02692","0.00026"
"1.50000","0.02791","125.04987","2.10894","0.00028"
"1.60000","0.03023","131.51721","2.21802","0.00030"
"1.70000","0.03201","135.39635","2.28344","0.00032"
"1.80000","0.03389","140.47395","2.36907","0.00034"
"1.90000","0.03641","147.56734","2.48870","0.00036"
"2.00000","0.03806","151.32994","2.55215","0.00038"
"2.10000","0.03997","156.69788","2.64268","0.00040"
"2.20000","0.04223","161.96182","2.73146","0.00042"
"2.30000","0.04393","165.44460","2.79019","0.00044"
"2.40000","0.04596","170.72060","2.87917","0.00046"
"2.50000","0.04837","174.93556","2.95026","0.00048"
"2.60000","0.05003","177.74474","2.99763","0.00050"
"2.70000","0.05206","182.25793","3.07375","0.00052"
"2.80000","0.05416","185.06981","3.12117","0.00054"
"2.90000","0.05590","187.77872","3.16686","0.00056"
"3.00000","0.05820","193.23055","3.25880","0.00058"
"3.10000","0.06025","195.06079","3.28967","0.00060"
"3.20000","0.06188","198.26898","3.34377","0.00062"
"3.30000","0.06422","204.28099","3.44516","0.00064"
"3.40000","0.06610","206.92059","3.48968","0.00066"
"3.50000","0.06785","211.44482","3.56598","0.00068"
"3.60000","0.07040","221.14706","3.72961","0.00070"
"3.70000","0.07218","225.61340","3.80493","0.00072"
"3.80000","0.07396","232.08015","3.91399","0.00074"
"3.90000","0.07629","241.21461","4.06804","0.00076"
"4.00000","0.07799","246.83607","4.16285","0.00078"
"4.10000","0.07992","254.68958","4.29530","0.00080"
"4.20000","0.08245","265.63538","4.47990","0.00082"
"4.30000","0.08408","271.03708","4.57099","0.00084"
"4.40000","0.08602","280.48343","4.73031","0.00086"
"4.50000","0.08833","290.73114","4.90313","0.00088"
"4.60000","0.08991","297.13269","5.01109","0.00090"
"4.70000","0.09200","308.43164","5.20165","0.00092"
"4.80000","0.09439","319.86035","5.39439","0.00094"
"4.90000","0.09598","326.53775","5.50700","0.00096"
"5.00000","0.09811","339.08658","5.71864","0.00098"
"5.10000","0.10017","349.02087","5.88618","0.00100"
"5.20000","0.10186","357.72415","6.03296","0.00102"
"5.30000","0.10422","372.94165","6.28960","0.00104"
"5.40000","0.10625","382.65857","6.45347","0.00106"
"5.50000","0.10788","391.11398","6.59607","0.00108"
"5.60000","0.11029","407.42490","6.87115","0.00110"
"5.70000","0.11207","415.79291","7.01228","0.00112"
"5.80000","0.11387","426.50208","7.19288","0.00114"
"5.90000","0.11637","444.07309","7.48922","0.00116"
"6.00000","0.11814","452.65085","7.63388","0.00118"
"6.10000","0.11989","463.83948","7.82257","0.00120"
"6.20000","0.12236","481.79883","8.12545","0.00122"
"6.30000","0.12400","490.39307","8.27040","0.00124"
"6.40000","0.12589","504.01801","8.50018","0.00126"
"6.50000","0.12842","522.49988","8.81187","0.00128"
"6.60000","0.13005","532.10907","8.97393","0.00130"
"6.70000","0.13200","546.75623","9.22095","0.00132"
"6.80000","0.13428","563.35217","9.50084","0.00134"
"6.90000","0.13593","574.00439","9.68049","0.00136"
"7.00000","0.13801","591.50342","9.97560","0.00138"
"7.10000","0.14040","609.35260","10.27663","0.00140"
"7.20000","0.14194","619.60883","10.44960","0.00142"
"7.30000","0.14410","638.75562","10.77250","0.00144"
"7.40000","0.14621","654.84924","11.04392","0.00146"
"7.50000","0.14790","667.92676","11.26447","0.00148"
"7.60000","0.15028","690.54376","11.64590","0.00150"
"7.70000","0.15220","704.50763","11.88140","0.00152"
"7.80000","0.15388","718.50555","12.11747","0.00154"
"7.90000","0.15627","742.28162","12.51845","0.00156"
"8.00000","0.15811","756.52783","12.75871","0.00158"
"8.10000","0.15986","771.95361","13.01887","0.00160"
"8.20000","0.16245","799.21716","13.47866","0.00162"
"8.30000","0.16407","811.33600","13.68304","0.00164"
"8.40000","0.16586","828.68256","13.97559","0.00166"
"8.50000","0.16833","854.88873","14.41755","0.00168"
"8.60000","0.17003","869.48584","14.66373","0.00170"
"8.70000","0.17190","888.59845","14.98606","0.00172"
"8.80000","0.17447","916.62921","15.45879","0.00174"
"8.90000","0.17602","929.92310","15.68299","0.00176"
"9.00000","0.17798","951.69360","16.05015","0.00178"
"9.10000","0.18023","975.79126","16.45655","0.00180"
"9.20000","0.18193","992.77289","16.74294","0.00182"
"9.30000","0.18411","1018.70111","17.18022","0.00184"
"9.40000","0.18632","1041.94824","17.57228","0.00186"
"9.50000","0.18791","1058.24805","17.84717","0.00188"
"9.60000","0.19008","1085.43250","18.30563","0.00190"
"9.70000","0.19221","1108.67053","18.69754","0.00192"
"9.80000","0.19390","1127.02136","19.00702","0.00194"
"9.90000","0.19627","1158.68896","19.54109","0.00196"
"10.00000","0.19817","1178.77637","19.87986","0.00198"
"10.10000","0.19992","1199.55713","20.23033","0.00200"
"10.20000","0.20226","1231.05359","20.76151","0.00202"
"10.30000","0.20404","1250.86768","21.09567","0.00204"
"10.40000","0.20587","1274.06311","21.48686","0.00206"
"10.50000","0.20849","1311.60608","22.12001","0.00208"
"10.60000","0.21012","1329.28833","22.41822","0.00210"
"10.70000","0.21191","1353.39209","22.82473","0.00212"
"10.80000","0.21429","1387.66406","23.40272","0.00214"
