General : End date,"3/27/2025"
Maximum Load : Time at Maximum Load,"58.10000",s
Maximum Load : Maximum Load,"11601.74219",N
Maximum Load : Compressive stress at Maximum Load,"195.60532",MPa
Maximum Load : Compressive strain (Extension) at Maximum Load,"0.01160",mm/mm
Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Test : Rate 1,"1.20000",mm/min

Time,Extension,Load,Compressive stress,Compressive strain (Extension)
(s),(mm),(N),(MPa),(mm/mm)
"0.00000","0.00000","12.82430","0.21622","0.00000"
"0.10000","0.00031","13.82458","0.23308","0.00000"
"0.20000","0.00131","18.36695","0.30967","0.00001"
"0.30000","0.00330","27.93525","0.47099","0.00003"
"0.40000","0.00607","42.26014","0.71251","0.00006"
"0.50000","0.00800","52.58113","0.88652","0.00008"
"0.60000","0.00978","62.55663","1.05470","0.00010"
"0.70000","0.01227","76.48121","1.28947","0.00012"
"0.80000","0.01386","83.96500","1.41565","0.00014"
"0.90000","0.01583","90.56384","1.52691","0.00016"
"1.00000","0.01830","94.06483","1.58593","0.00018"
"1.10000","0.01991","96.35968","1.62462","0.00020"
"1.20000","0.02196","101.13362","1.70511","0.00022"
"1.30000","0.02417","104.64500","1.76431","0.00024"
"1.40000","0.02583","107.92498","1.81961","0.00026"
"1.50000","0.02802","113.32433","1.91065","0.00028"
"1.60000","0.03031","116.02944","1.95626","0.00030"
"1.70000","0.03184","118.89175","2.00451","0.00032"
"1.80000","0.03407","124.18784","2.09381","0.00034"
"1.90000","0.03610","126.64799","2.13528","0.00036"
"2.00000","0.03784","129.94627","2.19089","0.00038"
"2.10000","0.04026","135.23476","2.28006","0.00040"
"2.20000","0.04210","136.79424","2.30635","0.00042"
"2.30000","0.04381","140.33765","2.36609","0.00044"
"2.40000","0.04621","145.48354","2.45285","0.00046"
"2.50000","0.04800","147.38535","2.48492","0.00048"
"2.60000","0.04980","151.08119","2.54723","0.00050"
"2.70000","0.05238","156.36362","2.63629","0.00052"
"2.80000","0.05396","158.03978","2.66455","0.00054"
"2.90000","0.05584","162.42082","2.73841","0.00056"
"3.00000","0.05822","167.18608","2.81876","0.00058"
"3.10000","0.05993","169.98027","2.86587","0.00060"
"3.20000","0.06186","174.87628","2.94841","0.00062"
"3.30000","0.06436","179.82172","3.03179","0.00064"
