"File Number","D0","D1","E","Time_1","Time_0","Dev1/ai0","Dev1/ai1","Force_[N]","Strain_[%]"
0,378.033081055,378.033081055,0,0,0.00300000000004,-0.0116,9.9762,-11.9544,20.0005
1,378.033081055,378.027862549,-1.38043633342e-05,3.8,3.8,-0.0306,9.982,-31.0168,20.0121
2,378.033081055,378.018737793,-3.79418161174e-05,4.175,4.175,-0.0657,9.9785,-66.2339,20.005
3,378.033081055,378.020782471,-3.25330875057e-05,4.611,4.611,-0.0944,9.9701,-94.9892,19.9882
4,378.033081055,378.032775879,-8.07272670045e-07,5.048,5.048,-0.1231,9.9775,-123.7445,20.0031
5,378.033081055,378.043304443,2.70436357823e-05,5.36,5.36,-0.1563,9.9814,-157.023,20.0109
6,378.033081055,378.030639648,-6.45818136036e-06,5.795,5.795,-0.1901,9.9791,-190.9478,20.0063
7,378.033081055,378.018676758,-3.81032696168e-05,6.108,6.108,-0.2146,9.9778,-215.5028,20.0037
8,378.033081055,378.034637451,4.11709061154e-06,6.419,6.419,-0.2449,9.9859,-245.8735,20.0199
9,378.033081055,378.049133301,4.24625432061e-05,6.736,6.737,-0.2739,9.9817,-274.9519,20.0115
10,378.033081055,378.019836426,-3.50356349372e-05,7.105,7.105,-0.3094,9.9795,-310.4921,20.007
11,378.033081055,378.021514893,-3.05956345983e-05,7.292,7.292,-0.3303,9.9814,-331.4931,20.0109
12,378.033081055,378.024261475,-2.33301798289e-05,7.605,7.605,-0.3716,9.9853,-372.849,20.0186
13,378.033081055,378.029724121,-8.8799997684e-06,7.856,7.856,-0.3967,9.9785,-398.0502,20.005
14,378.033081055,378.0234375,-2.55098166235e-05,8.106,8.106,-0.4315,9.9746,-432.9443,19.9973
15,378.033081055,378.025817871,-1.92130901269e-05,8.356,8.356,-0.4686,9.9898,-470.0999,20.0277
16,378.033081055,378.038269043,1.3723635675e-05,8.478,8.478,-0.4866,9.9711,-488.1931,19.9902
17,378.033081055,378.035919189,7.50763592805e-06,8.666,8.666,-0.5198,9.9791,-521.4717,20.0063
18,378.033081055,378.042114258,2.3895270715e-05,8.79,8.79,-0.5424,9.982,-544.0882,20.0121
19,378.033081055,378.015136719,-4.74676344311e-05,8.978,8.978,-0.5769,9.9791,-578.6591,20.0063
20,378.033081055,378.016418457,-4.40770891146e-05,9.102,9.102,-0.5975,9.9798,-599.3371,20.0076
21,378.033081055,378.011322021,-5.75585436309e-05,9.29,9.29,-0.6426,9.9756,-644.5701,19.9992
22,378.033081055,378.035064697,5.24727238371e-06,9.416,9.416,-0.6674,9.9775,-669.4482,20.0031
23,378.033081055,378.032073975,-2.66399979409e-06,9.54,9.541,-0.6951,9.9765,-697.2342,20.0012
24,378.033081055,378.030670166,-6.37745415588e-06,9.726,9.726,-0.7361,9.9785,-738.267,20.005
25,378.033081055,378.02053833,-3.31789087795e-05,9.853,9.853,-0.7912,9.9801,-793.5159,20.0083
