"File Number","D0","D1","E","Time_1","Time_0","Dev1/ai0","Dev1/ai1","Force_[N]","Strain_[%]"
0,297.001678467,297.001678467,0,0,0.005,-0.0125,9.9811,-14.5407,20.0102
1,297.001678467,296.992340088,-3.14421740768e-05,2.729,2.729,-0.0367,9.9778,-50.8874,20.0037
2,297.001678467,297.01751709,5.33283964614e-05,3.167,3.167,-0.0515,9.9798,-73.1801,20.0076
3,297.001678467,297.01739502,5.29173885297e-05,4.04,4.04,-0.0796,9.9778,-115.3423,20.0037
4,297.001678467,296.984588623,-5.75412377657e-05,4.477,4.477,-0.0857,9.9801,-124.5501,20.0083
5,297.001678467,297.019104004,5.86715104873e-05,5.224,5.225,-0.1147,9.9795,-168.1662,20.007
6,297.001678467,297.044586182,0.00014446960995,5.974,5.974,-0.1273,9.9782,-187.0665,20.0044
7,297.001678467,297.010620117,3.01063973893e-05,6.474,6.474,-0.1505,9.9746,-221.9594,19.9973
8,297.001678467,296.981506348,-6.79192089592e-05,6.973,6.973,-0.1666,9.9778,-246.1905,20.0037
9,297.001678467,296.993652344,-2.70238306257e-05,7.283,7.284,-0.1879,9.9762,-278.1756,20.0005
10,297.001678467,297.010223389,2.87706188828e-05,7.782,7.782,-0.2172,9.9769,-322.2763,20.0018
11,297.001678467,296.983612061,-6.08293084952e-05,8.033,8.033,-0.2311,9.9807,-343.1151,20.0096
12,297.001678467,297.028320312,8.97026766324e-05,8.47,8.47,-0.2578,9.9733,-383.3388,19.9947
13,297.001678467,297.048278809,0.000156902620802,8.595,8.595,-0.2707,9.9798,-402.7238,20.0076
14,297.001678467,297.006103516,1.48990702655e-05,8.973,8.973,-0.3003,9.9772,-447.3091,20.0025
15,297.001678467,297.015014648,4.49027138529e-05,9.282,9.282,-0.3226,9.9778,-480.7481,20.0037
16,297.001678467,297.000610352,-3.59632736036e-06,9.469,9.469,-0.3377,9.9762,-503.5254,20.0005
17,297.001678467,296.988586426,-4.40806979896e-05,9.654,9.655,-0.3561,9.9804,-531.1489,20.0089
18,297.001678467,296.981536865,-6.78164578858e-05,9.907,9.907,-0.3796,9.9833,-566.5264,20.0147
19,297.001678467,296.97052002,-0.000104910002847,10.028,10.028,-0.3874,9.9807,-578.1573,20.0096
20,297.001678467,296.952270508,-0.00016635582142,10.219,10.219,-0.4183,9.9798,-624.6811,20.0076
