File Number,D0,D1,E,Time_1,Time_0,Dev1/ai0,Dev1/ai1,Force_[N],Strain_[%]
0,320.0249939,320.0249939,0,0,0.004,-0.0093,9.9736,-9.6945,19.9953
1,320.0249939,319.9946289,-9.49E-05,2.504,2.504,-0.0261,9.9778,-34.8949,20.0037
2,320.0249939,320.0783997,0.00016688,4.876,4.876,-0.0519,9.9759,-73.6647,19.9999
3,320.0249939,320.0360107,3.44E-05,6.997,6.997,-0.0699,9.9788,-100.8036,20.0057
4,320.0249939,320.0335388,2.67E-05,9.304,9.304,-0.0954,9.9811,-139.0888,20.0102
5,320.0249939,320.0322266,2.26E-05,10.866,10.866,-0.1137,9.9814,-166.7123,20.0109
6,320.0249939,320.0180969,-2.16E-05,12.174,12.174,-0.136,9.9807,-200.1513,20.0096
7,320.0249939,320.0206604,-1.35E-05,13.173,13.173,-0.1614,9.983,-238.4365,20.0141
8,320.0249939,319.9925537,-0.000101368,13.674,13.674,-0.1766,9.9836,-261.2138,20.0154
9,320.0249939,319.9689636,-0.000175081,14.548,14.548,-0.202,9.9743,-299.4991,19.9966
10,320.0249939,319.9858093,-0.000122442,14.921,14.921,-0.2127,9.9749,-315.4916,19.9979
11,320.0249939,319.9697571,-0.000172602,15.481,15.481,-0.2369,9.9769,-351.8383,20.0018
12,320.0249939,319.9430542,-0.000256042,15.796,15.796,-0.2578,9.9759,-383.3388,19.9999
13,320.0249939,319.9606018,-0.00020121,16.106,16.106,-0.2729,9.9756,-406.1161,19.9992
14,320.0249939,319.9400635,-0.000265387,16.481,16.481,-0.2994,9.9788,-445.8552,20.0057
15,320.0249939,319.9116211,-0.000354262,16.67,16.671,-0.3197,9.9788,-476.3865,20.0057
16,320.0249939,319.884552,-0.000438847,16.979,16.979,-0.339,9.9791,-505.4639,20.0063
17,320.0249939,319.9012756,-0.000386589,17.23,17.23,-0.3564,9.9801,-531.6335,20.0083
18,320.0249939,319.8982849,-0.000395935,17.416,17.416,-0.3832,9.9775,-571.8572,20.0031
19,320.0249939,319.8855896,-0.000435604,17.605,17.605,-0.3977,9.9749,-593.6653,19.9979
20,320.0249939,319.8701477,-0.000483857,17.79,17.79,-0.4119,9.9775,-614.9887,20.0031
21,320.0249939,319.8676147,-0.000491771,18.041,18.041,-0.4438,9.9743,-662.9664,19.9966
22,320.0249939,319.8734741,-0.000473462,18.226,18.226,-0.4712,9.9795,-704.1593,20.007
23,320.0249939,319.8180847,-0.000646541,18.539,18.539,-0.4963,9.9756,-741.96,19.9992
24,320.0249939,319.8041687,-0.000690025,18.663,18.663,-0.5111,9.9691,-764.2526,19.9863
25,320.0249939,319.8341675,-0.000596286,18.852,18.852,-0.545,9.9859,-815.138,20.0199
26,320.0249939,319.8415222,-0.000573304,19.038,19.039,-0.5637,9.9804,-843.2462,20.0089
27,320.0249939,319.8089905,-0.000674958,19.163,19.163,-0.5798,9.9856,-867.4774,20.0193
28,320.0249939,319.8253479,-0.000623845,19.288,19.288,-0.5923,9.9778,-886.3777,20.0037
29,320.0249939,319.7906494,-0.000732269,19.412,19.412,-0.613,9.9811,-917.3935,20.0102
30,320.0249939,319.7724609,-0.000789104,19.538,19.538,-0.631,9.9778,-944.5324,20.0037
31,320.0249939,319.7550354,-0.000843554,19.726,19.726,-0.6587,9.9804,-986.21,20.0089
32,320.0249939,319.7708435,-0.000794158,19.851,19.851,-0.6745,9.9836,-1009.9566,20.0154
33,320.0249939,319.7835693,-0.000754393,19.975,19.975,-0.6977,9.9775,-1044.8494,20.0031
34,320.0249939,319.7837524,-0.000753821,20.1,20.1,-0.6939,9.9798,-1039.034,20.0076
35,320.0249939,319.7897034,-0.000735225,20.223,20.223,-0.7387,9.9788,-1106.3966,20.0057
36,320.0249939,319.7612,-0.000824292,20.412,20.412,-0.7715,9.9807,-1155.8282,20.0096
37,320.0249939,319.7401123,-0.000890185,20.536,20.536,-0.7925,9.9782,-1187.3287,20.0044
38,320.0249939,319.7398987,-0.000890853,20.728,20.728,-0.8163,9.9798,-1223.1908,20.0076
39,320.0249939,319.7628479,-0.000819142,20.848,20.848,-0.8347,9.9804,-1250.8143,20.0089
40,320.0249939,319.7583923,-0.000833065,20.974,20.974,-0.8556,9.9733,-1282.3149,19.9947
41,320.0249939,319.7272644,-0.000930332,21.1,21.1,-0.8792,9.9759,-1317.6924,19.9999
42,320.0249939,319.7324219,-0.000914216,21.223,21.224,-0.9027,9.9762,-1353.0699,20.0005
43,320.0249939,319.6957092,-0.001028934,21.346,21.346,-0.9214,9.9769,-1381.178,20.0018
44,320.0249939,319.7069702,-0.000993746,21.473,21.473,-0.9604,9.9785,-1439.8174,20.005
45,320.0249939,319.6911011,-0.001043334,21.66,21.66,-0.9723,9.9804,-1457.7485,20.0089
46,320.0249939,319.6900635,-0.001046576,21.784,21.784,-1.012,9.9765,-1517.3572,20.0012
47,320.0249939,319.6535645,-0.001160626,22.033,22.034,-1.0571,9.9927,-1585.2045,20.0335
48,320.0249939,319.6742859,-0.001095877,22.158,22.158,-1.0764,9.9782,-1614.2819,20.0044
49,320.0249939,319.6600952,-0.001140219,22.349,22.349,-1.1167,9.9811,-1674.8598,20.0102
50,320.0249939,319.6280212,-0.001240443,22.534,22.534,-1.1367,9.9733,-1704.9065,19.9947
51,320.0249939,319.6297913,-0.001234912,22.657,22.657,-1.176,9.9795,-1764.0305,20.007
52,320.0249939,319.6116333,-0.001291651,22.844,22.845,-1.2082,9.9791,-1812.4929,20.0063
53,320.0249939,319.5742188,-0.001408562,23.032,23.033,-1.243,9.9807,-1864.8322,20.0096
54,320.0249939,319.5942688,-0.001345911,23.161,23.161,-1.2865,9.9811,-1930.2564,20.0102
55,320.0249939,319.5930786,-0.00134963,23.343,23.344,-1.3004,9.9775,-1951.0952,20.0031
56,320.0249939,319.5848694,-0.001375282,23.47,23.47,-1.3297,9.9772,-1995.1959,20.0025
57,320.0249939,319.5853271,-0.001373851,23.593,23.593,-1.3581,9.9791,-2037.8428,20.0063
58,320.0249939,319.565094,-0.001437075,23.719,23.719,-1.381,9.9801,-2072.2511,20.0083
59,320.0249939,319.5375366,-0.001523185,23.843,23.843,-1.4022,9.9814,-2104.2363,20.0109
60,320.0249939,319.5289307,-0.001550077,23.971,23.971,-1.4296,9.9824,-2145.4293,20.0128
61,320.0249939,319.5274048,-0.001554845,24.093,24.093,-1.4528,9.9769,-2180.3222,20.0018
62,320.0249939,319.5233459,-0.001567527,24.217,24.217,-1.5002,9.9743,-2251.5619,19.9966
63,320.0249939,319.5587769,-0.001456814,24.343,24.344,-1.5118,9.9801,-2269.0083,20.0083
64,320.0249939,319.5443115,-0.001502015,24.466,24.466,-1.5405,9.9814,-2312.1398,20.0109
65,320.0249939,319.5134277,-0.001598519,24.593,24.594,-1.5834,9.9765,-2376.5948,20.0012
66,320.0249939,319.5169067,-0.001587648,24.716,24.717,-1.6082,9.9753,-2413.9108,19.9986
67,320.0249939,319.5304565,-0.001545309,24.841,24.841,-1.6211,9.9817,-2433.2958,20.0115
68,320.0249939,319.4789124,-0.001706372,24.967,24.967,-1.6501,9.9769,-2476.9119,20.0018
69,320.0249939,319.4425964,-0.00181985,25.092,25.092,-1.6739,9.9778,-2512.7741,20.0037
