"File Number","D0","D1","E","Time_1","Time_0","Dev1/ai0","Dev1/ai1","Force_[N]","Strain_[%]"
0,339.013275146,339.013275146,0,0,0.00400000000002,-0.01,9.9698,-10.6637,19.9876
1,339.013275146,338.997741699,-4.58195827377e-05,3.814,3.814,-0.0071,9.9727,-6.3021,19.9934
2,339.013275146,338.993499756,-5.8332199842e-05,4.308,4.308,-0.0312,9.9791,-42.6488,20.0063
3,339.013275146,338.996887207,-4.83401126985e-05,4.623,4.623,-0.0528,9.9765,-75.1186,20.0012
4,339.013275146,339.006286621,-2.06143122341e-05,5.242,5.242,-0.0793,9.9753,-114.8577,19.9986
5,339.013275146,339.019317627,1.78237278305e-05,5.68,5.68,-0.0979,9.9807,-142.9658,20.0096
6,339.013275146,339.001281738,-3.53774012183e-05,6.367,6.367,-0.1154,9.9882,-169.1354,20.0244
7,339.013275146,339.001037598,-3.60975500371e-05,7.056,7.057,-0.1363,9.9865,-200.6359,20.0212
8,339.013275146,339.007507324,-1.70135590452e-05,7.677,7.677,-0.1595,9.9736,-235.5288,19.9953
9,339.013275146,339.026916504,4.02384175686e-05,8.052,8.052,-0.1759,9.982,-260.2446,20.0121
10,339.013275146,339.012023926,-3.69077201867e-06,8.427,8.428,-0.193,9.9765,-285.9296,20.0012
11,339.013275146,339.008331299,-1.45830499605e-05,8.8,8.8,-0.2204,9.9798,-327.1226,20.0076
12,339.013275146,339.031921387,5.50015029148e-05,8.986,8.987,-0.2333,9.9769,-346.5075,20.0018
13,339.013275146,338.991638184,-6.38233468635e-05,9.3,9.3,-0.2504,9.9746,-372.1925,19.9973
14,339.013275146,339.027557373,4.21288132202e-05,9.61,9.61,-0.2846,9.9785,-423.5626,20.005
15,339.013275146,339.028564453,4.50994339189e-05,9.737,9.737,-0.2862,9.9811,-425.9857,20.0102
16,339.013275146,338.986206055,-7.98467008281e-05,10.049,10.05,-0.3123,9.9743,-465.2401,19.9966
17,339.013275146,339.007537842,-1.69235390786e-05,10.302,10.302,-0.3374,9.9798,-503.0407,20.0076
18,339.013275146,338.986755371,-7.82263596193e-05,10.484,10.484,-0.3558,9.9801,-530.6643,20.0083
19,339.013275146,338.976715088,-0.000107842555735,10.672,10.672,-0.3748,9.9804,-559.257,20.0089
20,339.013275146,338.983337402,-8.83084721863e-05,10.923,10.923,-0.4019,9.9804,-599.9654,20.0089
21,339.013275146,338.983673096,-8.73182652867e-05,11.113,11.113,-0.4196,9.9814,-626.6196,20.0109
22,339.013275146,339.028808594,4.58195827377e-05,11.36,11.36,-0.448,9.9746,-669.2665,19.9973
23,339.013275146,339.053192139,0.000117744632007,11.482,11.482,-0.4583,9.9714,-684.7744,19.9908
24,339.013275146,339.04901123,0.000105412051198,11.669,11.669,-0.477,9.9798,-712.8826,20.0076
25,339.013275146,339.036834717,6.94945338182e-05,11.925,11.925,-0.5076,9.9798,-758.9218,20.0076
26,339.013275146,339.027832031,4.29389801866e-05,12.044,12.045,-0.5256,9.9782,-786.0607,20.0044
27,339.013275146,339.041046143,8.19171327748e-05,12.17,12.17,-0.5375,9.9759,-803.9917,19.9999
28,339.013275146,339.015075684,5.31111072632e-06,12.358,12.358,-0.5546,9.9833,-829.6767,20.0147
29,339.013275146,339.001922607,-3.34870055667e-05,12.481,12.482,-0.5772,9.9814,-863.6004,20.0109
30,339.013275146,339.028717041,4.55495282949e-05,12.671,12.671,-0.6072,9.9746,-908.6703,19.9973
31,339.013275146,339.042480469,8.61480220919e-05,12.795,12.795,-0.6178,9.9811,-924.6629,20.0102
32,339.013275146,339.036376953,6.81442543282e-05,12.917,12.917,-0.6288,9.9753,-941.1401,19.9986
33,339.013275146,339.03527832,6.49035791866e-05,13.104,13.105,-0.6748,9.9804,-1010.4412,20.0089
34,339.013275146,339.03704834,7.01246681274e-05,13.355,13.356,-0.7019,9.9843,-1051.1496,20.0167
35,339.013275146,339.017669678,1.29627114802e-05,13.483,13.483,-0.719,9.9698,-1076.8346,19.9876
36,339.013275146,339.017333984,1.19725045806e-05,13.606,13.606,-0.7358,9.9762,-1102.035,20.0005
37,339.013275146,339.021789551,2.5115254175e-05,13.729,13.729,-0.7467,9.9698,-1118.5122,19.9876
38,339.013275146,339.036804199,6.94045156706e-05,13.853,13.853,-0.776,9.9795,-1162.6129,20.007
39,339.013275146,339.028991699,4.63596952613e-05,13.978,13.979,-0.798,9.9743,-1195.5673,19.9966
40,339.013275146,339.028991699,4.63596952613e-05,14.105,14.106,-0.8166,9.9811,-1223.6754,20.0102
41,339.013275146,339.028015137,4.34790927102e-05,14.29,14.291,-0.8656,9.982,-1297.3382,20.0121
42,339.013275146,339.024932861,3.43871943187e-05,14.417,14.417,-0.8724,9.9785,-1307.5153,20.005
43,339.013275146,339.028686523,4.54595101473e-05,14.541,14.542,-0.8908,9.9836,-1335.1388,20.0154
44,339.013275146,339.029693604,4.84301308461e-05,14.664,14.665,-0.913,9.9753,-1368.5778,19.9986
45,339.013275146,339.009887695,-9.99208987196e-06,14.854,14.854,-0.9585,9.9753,-1436.9097,19.9986
46,339.013275146,338.954742432,-0.000172656116774,14.976,14.977,-0.9797,9.9714,-1468.8948,19.9908
47,339.013275146,338.953765869,-0.00017553671205,15.102,15.102,-0.9936,9.9753,-1489.7336,19.9986
48,339.013275146,338.986297607,-7.95766463852e-05,15.229,15.229,-1.0168,9.984,-1524.6265,20.016
49,339.013275146,339.025512695,3.60975500371e-05,15.352,15.352,-1.0584,9.9746,-1587.143,19.9973
50,339.013275146,339.075744629,0.000184268545127,15.541,15.541,-1.0925,9.982,-1638.513,20.0121
51,339.013275146,339.083862305,0.000208213547012,15.788,15.788,-1.1405,9.982,-1710.7219,20.0121
52,339.013275146,339.098358154,0.000250972487265,15.914,15.914,-1.1567,9.9827,-1734.9531,20.0134
53,339.013275146,339.076690674,0.000187059122254,16.04,16.04,-1.2027,9.9791,-1804.2543,20.0063
54,339.013275146,339.055603027,0.000124856116599,16.165,16.165,-1.2089,9.983,-1813.4621,20.0141
55,339.013275146,339.065795898,0.000154922410729,16.291,16.291,-1.2398,9.9859,-1859.986,20.0199
56,339.013275146,339.070922852,0.00017004556139,16.414,16.414,-1.2807,9.9811,-1921.5332,20.0102
57,339.013275146,339.063812256,0.000149071187479,16.599,16.599,-1.3126,9.983,-1969.5109,20.0141
58,339.013275146,339.05557251,0.000124766098452,16.723,16.723,-1.3362,9.9733,-2004.8884,19.9947
59,339.013275146,339.051605225,0.000113063651952,16.849,16.849,-1.39,9.9678,-2085.8206,19.9837
60,339.013275146,339.038543701,7.45355937397e-05,16.975,16.975,-1.3932,9.9746,-2090.6668,19.9973
61,339.013275146,339.039978027,7.87664757809e-05,17.1,17.1,-1.4416,9.9833,-2163.3604,20.0147
62,339.013275146,339.033111572,5.85122397752e-05,17.227,17.227,-1.4767,9.9743,-2216.1843,19.9966
63,339.013275146,339.019683838,1.89039546967e-05,17.413,17.413,-1.498,9.9775,-2248.1695,20.0031
64,339.013275146,339.017608643,1.2782673366e-05,17.537,17.537,-1.5453,9.9762,-2319.4092,20.0005
65,339.013275146,339.009002686,-1.26026361613e-05,17.659,17.66,-1.5698,9.9765,-2356.2406,20.0012
