Specimen properties : Specimen label,"F3"
Specimen properties : Support span,"72.00",mm
Specimen properties : Thickness,"4.77",mm
Specimen properties : Width,"14.93",mm
Maximum Load : Maximum Load,"1444",N
Tangent Modulus of Elasticity : Tangent Modulus of Elasticity,"44007129860.46820",Pa
Test : Rate 1,"1.00000",mm/min
Specimen notes : Specimen note 1,""

Time,Displacement,Load,Flexure extension,Corrected extension,Flexure strain (Corrected extension),Flexure stress
(s),(mm),(N),(mm),(mm),(mm/mm),(MPa)
"0.00000","-0.00033","49.49940","0.05948","-1.05596","0.00033","15.73719"
"0.10000","-0.00020","49.53939","0.05960","-1.05584","0.00033","15.74990"
"0.20000","0.00068","50.08440","0.06041","-1.05503","0.00033","15.92318"
"0.30000","0.00203","50.83052","0.06166","-1.05378","0.00034","16.16039"
"0.40000","0.00383","52.20161","0.06328","-1.05217","0.00035","16.59629"
"0.50000","0.00607","53.66793","0.06532","-1.05012","0.00036","17.06248"
"0.60000","0.00780","54.69588","0.06691","-1.04853","0.00037","17.38929"
"0.70000","0.00915","55.68903","0.06812","-1.04732","0.00038","17.70504"
"0.80000","0.01094","56.99047","0.06975","-1.04569","0.00039","18.11880"
"0.90000","0.01284","58.15792","0.07150","-1.04394","0.00039","18.48996"
"1.00000","0.01422","59.14378","0.07276","-1.04268","0.00040","18.80340"
"1.10000","0.01574","60.09131","0.07417","-1.04127","0.00041","19.10464"
"1.20000","0.01800","61.53838","0.07626","-1.03918","0.00042","19.56470"
"1.30000","0.01946","62.53990","0.07760","-1.03784","0.00043","19.88311"
"1.40000","0.02086","63.55474","0.07889","-1.03655","0.00044","20.20576"
"1.50000","0.02264","64.67416","0.08054","-1.03490","0.00044","20.56165"
"1.60000","0.02442","65.86411","0.08217","-1.03327","0.00045","20.93997"
"1.70000","0.02591","66.79884","0.08355","-1.03189","0.00046","21.23714"
"1.80000","0.02749","67.80830","0.08502","-1.03042","0.00047","21.55808"
"1.90000","0.02967","69.32703","0.08702","-1.02842","0.00048","22.04092"
"2.00000","0.03105","70.11981","0.08831","-1.02713","0.00049","22.29297"
"2.10000","0.03246","71.10970","0.08960","-1.02584","0.00049","22.60768"
"2.20000","0.03444","72.43171","0.09142","-1.02402","0.00050","23.02798"
"2.30000","0.03610","73.66227","0.09295","-1.02249","0.00051","23.41921"
"2.40000","0.03746","74.47366","0.09421","-1.02123","0.00052","23.67718"
"2.50000","0.03910","75.61609","0.09572","-1.01972","0.00053","24.04038"
"2.60000","0.04130","77.11093","0.09774","-1.01770","0.00054","24.51563"
"2.70000","0.04274","78.09549","0.09906","-1.01638","0.00055","24.82865"
"2.80000","0.04418","79.02405","0.10040","-1.01504","0.00055","25.12387"
"2.90000","0.04610","80.36742","0.10216","-1.01328","0.00056","25.55096"
"3.00000","0.04768","81.36156","0.10362","-1.01182","0.00057","25.86703"
"3.10000","0.04912","82.41100","0.10494","-1.01051","0.00058","26.20067"
"3.20000","0.05085","83.59956","0.10653","-1.00891","0.00059","26.57854"
"3.30000","0.05298","85.01935","0.10849","-1.00695","0.00060","27.02993"
"3.40000","0.05433","85.91835","0.10974","-1.00570","0.00061","27.31575"
"3.50000","0.05577","86.83144","0.11107","-1.00437","0.00061","27.60605"
"3.60000","0.05785","88.28075","0.11300","-1.00244","0.00062","28.06682"
"3.70000","0.05936","89.39150","0.11441","-1.00104","0.00063","28.41996"
"3.80000","0.06080","90.35744","0.11575","-0.99969","0.00064","28.72705"
"3.90000","0.06263","91.54699","0.11746","-0.99798","0.00065","29.10525"
"4.00000","0.06459","92.94785","0.11928","-0.99616","0.00066","29.55062"
"4.10000","0.06597","93.86307","0.12057","-0.99487","0.00067","29.84159"
"4.20000","0.06744","94.78905","0.12196","-0.99348","0.00067","30.13599"
"4.30000","0.06953","96.34207","0.12390","-0.99154","0.00068","30.62973"
"4.40000","0.07102","97.19923","0.12530","-0.99014","0.00069","30.90225"
"4.50000","0.07244","98.24651","0.12662","-0.98882","0.00070","31.23520"
"4.60000","0.07436","99.50844","0.12841","-0.98703","0.00071","31.63640"
"4.70000","0.07622","100.86352","0.13014","-0.98530","0.00072","32.06722"
"4.80000","0.07761","101.78716","0.13144","-0.98400","0.00073","32.36087"
"4.90000","0.07917","102.89543","0.13289","-0.98255","0.00073","32.71322"
"5.00000","0.08125","104.25278","0.13484","-0.98060","0.00074","33.14476"
"5.10000","0.08261","105.11222","0.13611","-0.97933","0.00075","33.41800"
"5.20000","0.08408","106.34640","0.13746","-0.97798","0.00076","33.81038"
"5.30000","0.08607","107.61115","0.13933","-0.97611","0.00077","34.21247"
"5.40000","0.08793","108.86778","0.14107","-0.97438","0.00078","34.61199"
"5.50000","0.08925","109.81956","0.14230","-0.97315","0.00079","34.91459"
"5.60000","0.09084","110.95594","0.14378","-0.97167","0.00079","35.27587"
"5.70000","0.09289","112.39222","0.14569","-0.96976","0.00080","35.73251"
"5.80000","0.09428","113.30196","0.14698","-0.96846","0.00081","36.02173"
"5.90000","0.09578","114.36860","0.14838","-0.96706","0.00082","36.36085"
"6.00000","0.09787","115.88107","0.15032","-0.96512","0.00083","36.84170"
"6.10000","0.09947","116.97205","0.15182","-0.96362","0.00084","37.18856"
"6.20000","0.10084","117.97536","0.15309","-0.96235","0.00085","37.50753"
"6.30000","0.10254","119.04263","0.15469","-0.96075","0.00085","37.84685"
"6.40000","0.10456","120.44827","0.15656","-0.95888","0.00086","38.29374"
"6.50000","0.10595","121.56000","0.15785","-0.95759","0.00087","38.64719"
"6.60000","0.10743","122.49079","0.15924","-0.95621","0.00088","38.94311"
"6.70000","0.10960","124.11274","0.16125","-0.95420","0.00089","39.45877"
"6.80000","0.11109","125.13243","0.16264","-0.95280","0.00090","39.78296"
"6.90000","0.11248","126.03490","0.16394","-0.95150","0.00091","40.06988"
"7.00000","0.11425","127.29945","0.16559","-0.94985","0.00091","40.47191"
"7.10000","0.11620","128.75278","0.16740","-0.94804","0.00092","40.93396"
"7.20000","0.11757","129.59277","0.16869","-0.94676","0.00093","41.20102"
"7.30000","0.11910","130.82347","0.17010","-0.94535","0.00094","41.59229"
"7.40000","0.12134","132.27905","0.17219","-0.94325","0.00095","42.05506"
"7.50000","0.12273","133.32603","0.17348","-0.94196","0.00096","42.38792"
"7.60000","0.12415","134.24162","0.17481","-0.94063","0.00097","42.67902"
"7.70000","0.12596","135.62563","0.17649","-0.93895","0.00097","43.11903"
"7.80000","0.12777","136.94377","0.17817","-0.93728","0.00098","43.53810"
"7.90000","0.12921","137.97926","0.17951","-0.93594","0.00099","43.86731"
"8.00000","0.13081","139.13168","0.18100","-0.93444","0.00100","44.23370"
"8.10000","0.13306","140.66713","0.18310","-0.93235","0.00101","44.72186"
"8.20000","0.13436","141.65611","0.18430","-0.93114","0.00102","45.03628"
"8.30000","0.13578","142.58669","0.18563","-0.92982","0.00102","45.33213"
"8.40000","0.13765","143.91116","0.18738","-0.92807","0.00103","45.75322"
"8.50000","0.13947","145.24319","0.18907","-0.92638","0.00104","46.17671"
"8.60000","0.14090","146.33273","0.19039","-0.92505","0.00105","46.52311"
"8.70000","0.14250","147.35526","0.19189","-0.92356","0.00106","46.84819"
"8.80000","0.14465","149.08379","0.19387","-0.92158","0.00107","47.39774"
"8.90000","0.14601","149.93806","0.19515","-0.92030","0.00108","47.66934"
"9.00000","0.14750","150.97000","0.19653","-0.91891","0.00109","47.99742"
"9.10000","0.14943","152.40332","0.19833","-0.91711","0.00109","48.45311"
"9.20000","0.15105","153.57918","0.19983","-0.91561","0.00110","48.82694"
"9.30000","0.15251","154.53282","0.20120","-0.91424","0.00111","49.13013"
"9.40000","0.15422","155.75410","0.20279","-0.91265","0.00112","49.51841"
"9.50000","0.15636","157.41139","0.20477","-0.91067","0.00113","50.04531"
"9.60000","0.15768","158.26955","0.20601","-0.90943","0.00114","50.31814"
"9.70000","0.15915","159.33578","0.20739","-0.90805","0.00114","50.65712"
"9.80000","0.16108","160.83711","0.20920","-0.90624","0.00115","51.13444"
"9.90000","0.16268","161.80162","0.21071","-0.90473","0.00116","51.44108"
"10.00000","0.16416","162.92447","0.21209","-0.90335","0.00117","51.79806"
"10.10000","0.16595","164.27516","0.21378","-0.90166","0.00118","52.22749"
"10.20000","0.16796","165.71449","0.21566","-0.89978","0.00119","52.68509"
"10.30000","0.16933","166.72444","0.21694","-0.89850","0.00120","53.00618"
"10.40000","0.17079","167.69289","0.21832","-0.89712","0.00121","53.31407"
"10.50000","0.17276","169.18864","0.22016","-0.89528","0.00122","53.78961"
"10.60000","0.17427","170.20599","0.22158","-0.89386","0.00122","54.11306"
"10.70000","0.17582","171.29245","0.22305","-0.89239","0.00123","54.45847"
"10.80000","0.17772","172.75177","0.22482","-0.89062","0.00124","54.92242"
"10.90000","0.17957","174.12790","0.22655","-0.88889","0.00125","55.35994"
"11.00000","0.18095","175.08383","0.22785","-0.88759","0.00126","55.66385"
"11.10000","0.18248","176.15442","0.22929","-0.88615","0.00127","56.00422"
"11.20000","0.18448","177.61308","0.23117","-0.88427","0.00128","56.46797"
"11.30000","0.18596","178.77795","0.23255","-0.88289","0.00128","56.83831"
"11.40000","0.18745","179.71127","0.23396","-0.88148","0.00129","57.13504"
"11.50000","0.18943","181.35918","0.23580","-0.87965","0.00130","57.65895"
"11.60000","0.19118","182.56253","0.23745","-0.87799","0.00131","58.04153"
"11.70000","0.19263","183.47377","0.23882","-0.87662","0.00132","58.33124"
"11.80000","0.19426","184.71938","0.24034","-0.87510","0.00133","58.72725"
"11.90000","0.19611","186.11871","0.24208","-0.87336","0.00134","59.17213"
"12.00000","0.19756","187.16170","0.24344","-0.87200","0.00134","59.50373"
"12.10000","0.19912","188.23756","0.24491","-0.87053","0.00135","59.84578"
"12.20000","0.20126","189.85782","0.24690","-0.86854","0.00136","60.36090"
"12.30000","0.20283","190.93454","0.24838","-0.86706","0.00137","60.70322"
"12.40000","0.20422","191.98428","0.24969","-0.86575","0.00138","61.03696"
"12.50000","0.20586","193.19725","0.25122","-0.86422","0.00139","61.42259"
"12.60000","0.20786","194.50661","0.25311","-0.86233","0.00140","61.83887"
"12.70000","0.20924","195.60507","0.25440","-0.86104","0.00140","62.18810"
"12.80000","0.21076","196.60324","0.25584","-0.85960","0.00141","62.50545"
"12.90000","0.21296","198.26862","0.25789","-0.85755","0.00142","63.03492"
"13.00000","0.21446","199.38739","0.25930","-0.85614","0.00143","63.39061"
"13.10000","0.21589","200.34807","0.26065","-0.85480","0.00144","63.69603"
"13.20000","0.21757","201.61250","0.26222","-0.85322","0.00145","64.09803"
"13.30000","0.21940","202.94034","0.26395","-0.85149","0.00146","64.52018"
"13.40000","0.22090","204.00323","0.26537","-0.85008","0.00147","64.85811"
"13.50000","0.22244","205.16997","0.26681","-0.84864","0.00147","65.22904"
"13.60000","0.22463","206.76974","0.26887","-0.84658","0.00148","65.73766"
"13.70000","0.22606","207.76172","0.27022","-0.84522","0.00149","66.05303"
"13.80000","0.22753","208.83382","0.27160","-0.84384","0.00150","66.39388"
"13.90000","0.22935","210.15910","0.27331","-0.84213","0.00151","66.81522"
"14.00000","0.23106","211.46169","0.27493","-0.84052","0.00152","67.22935"
"14.10000","0.23252","212.47408","0.27630","-0.83914","0.00153","67.55122"
"14.20000","0.23410","213.66547","0.27778","-0.83766","0.00153","67.92999"
"14.30000","0.23634","215.23933","0.27990","-0.83554","0.00155","68.43037"
"14.40000","0.23774","216.26753","0.28122","-0.83423","0.00155","68.75726"
"14.50000","0.23918","217.20947","0.28258","-0.83286","0.00156","69.05672"
"14.60000","0.24101","218.64897","0.28430","-0.83114","0.00157","69.51438"
"14.70000","0.24273","219.76961","0.28593","-0.82951","0.00158","69.87066"
"14.80000","0.24419","220.79335","0.28730","-0.82814","0.00159","70.19614"
"14.90000","0.24585","222.06023","0.28886","-0.82658","0.00159","70.59891"
"15.00000","0.24803","223.69653","0.29091","-0.82453","0.00161","71.11913"
"15.10000","0.24932","224.43799","0.29215","-0.82329","0.00161","71.35487"
"15.20000","0.25079","225.59409","0.29353","-0.82192","0.00162","71.72242"
"15.30000","0.25278","227.11055","0.29540","-0.82005","0.00163","72.20454"
"15.40000","0.25439","228.06799","0.29692","-0.81852","0.00164","72.50894"
"15.50000","0.25583","229.23360","0.29828","-0.81717","0.00165","72.87952"
"15.60000","0.25751","230.45332","0.29985","-0.81559","0.00166","73.26730"
"15.70000","0.25964","232.02184","0.30186","-0.81359","0.00167","73.76597"
"15.80000","0.26102","233.01283","0.30316","-0.81229","0.00167","74.08103"
"15.90000","0.26251","234.08716","0.30457","-0.81088","0.00168","74.42259"
"16.00000","0.26444","235.39665","0.30639","-0.80906","0.00169","74.83891"
"16.10000","0.26598","236.44231","0.30784","-0.80760","0.00170","75.17136"
"16.20000","0.26750","237.52489","0.30927","-0.80617","0.00171","75.51554"
"16.30000","0.26931","238.87791","0.31098","-0.80446","0.00172","75.94570"
"16.40000","0.27129","240.24605","0.31285","-0.80259","0.00173","76.38067"
"16.50000","0.27264","241.29944","0.31411","-0.80133","0.00173","76.71557"
"16.60000","0.27417","242.28978","0.31556","-0.79988","0.00174","77.03043"
"16.70000","0.27622","243.84993","0.31749","-0.79795","0.00175","77.52644"
"16.80000","0.27762","244.77809","0.31882","-0.79662","0.00176","77.82153"
"16.90000","0.27909","245.81447","0.32021","-0.79523","0.00177","78.15102"
"17.00000","0.28103","247.26843","0.32204","-0.79340","0.00178","78.61327"
"17.10000","0.28291","248.59807","0.32381","-0.79163","0.00179","79.03600"
"17.20000","0.28428","249.55292","0.32512","-0.79032","0.00179","79.33957"
"17.30000","0.28587","250.56863","0.32663","-0.78882","0.00180","79.66250"
"17.40000","0.28785","252.14418","0.32849","-0.78695","0.00181","80.16341"
"17.50000","0.28929","252.99797","0.32986","-0.78558","0.00182","80.43484"
"17.60000","0.29076","254.14554","0.33124","-0.78420","0.00183","80.79969"
"17.70000","0.29278","255.62057","0.33315","-0.78229","0.00184","81.26865"
"17.80000","0.29451","256.91660","0.33479","-0.78066","0.00185","81.68069"
"17.90000","0.29590","257.86789","0.33610","-0.77935","0.00186","81.98312"
"18.00000","0.29755","258.90280","0.33767","-0.77778","0.00186","82.31215"
"18.10000","0.29957","260.49124","0.33956","-0.77588","0.00187","82.81716"
"18.20000","0.30092","261.49554","0.34084","-0.77460","0.00188","83.13645"
"18.30000","0.30244","262.40845","0.34229","-0.77315","0.00189","83.42669"
"18.40000","0.30449","263.92645","0.34422","-0.77122","0.00190","83.90930"
"18.50000","0.30615","265.15137","0.34579","-0.76965","0.00191","84.29874"
"18.60000","0.30754","266.19516","0.34710","-0.76834","0.00192","84.63058"
"18.70000","0.30922","267.40356","0.34869","-0.76675","0.00193","85.01477"
"18.80000","0.31120","268.74136","0.35056","-0.76488","0.00194","85.44009"
"18.90000","0.31257","269.81168","0.35185","-0.76360","0.00194","85.78037"
"19.00000","0.31409","270.72403","0.35330","-0.76214","0.00195","86.07043"
"19.10000","0.31628","272.42633","0.35536","-0.76008","0.00196","86.61165"
"19.20000","0.31775","273.38232","0.35676","-0.75868","0.00197","86.91558"
"19.30000","0.31918","274.30386","0.35812","-0.75732","0.00198","87.20856"
"19.40000","0.32095","275.55713","0.35979","-0.75565","0.00199","87.60701"
"19.50000","0.32283","276.94510","0.36156","-0.75388","0.00200","88.04828"
"19.60000","0.32423","277.97742","0.36288","-0.75256","0.00200","88.37649"
"19.70000","0.32576","279.05414","0.36433","-0.75111","0.00201","88.71880"
"19.80000","0.32801","280.77896","0.36645","-0.74899","0.00202","89.26717"
"19.90000","0.32942","281.68433","0.36779","-0.74765","0.00203","89.55501"
"20.00000","0.33082","282.66443","0.36911","-0.74633","0.00204","89.86661"
"20.10000","0.33266","283.99240","0.37086","-0.74458","0.00205","90.28881"
"20.20000","0.33450","285.27191","0.37259","-0.74285","0.00206","90.69560"
"20.30000","0.33589","286.24002","0.37391","-0.74153","0.00206","91.00339"
"20.40000","0.33748","287.39853","0.37541","-0.74003","0.00207","91.37171"
"20.50000","0.33963","288.92044","0.37745","-0.73799","0.00208","91.85557"
"20.60000","0.34103","289.99673","0.37877","-0.73668","0.00209","92.19775"
"20.70000","0.34247","290.92746","0.38014","-0.73530","0.00210","92.49365"
"20.80000","0.34437","292.31812","0.38194","-0.73350","0.00211","92.93578"
"20.90000","0.34611","293.62253","0.38359","-0.73185","0.00212","93.35049"
"21.00000","0.34753","294.53253","0.38495","-0.73049","0.00213","93.63980"
"21.10000","0.34915","295.70551","0.38649","-0.72895","0.00213","94.01272"
"21.20000","0.35134","297.32605","0.38858","-0.72686","0.00215","94.52793"
"21.30000","0.35265","298.21930","0.38983","-0.72561","0.00215","94.81192"
"21.40000","0.35412","299.47339","0.39121","-0.72423","0.00216","95.21063"
"21.50000","0.35606","300.63458","0.39307","-0.72237","0.00217","95.57980"
"21.60000","0.35773","301.92352","0.39466","-0.72078","0.00218","95.98959"
"21.70000","0.35919","302.86191","0.39606","-0.71938","0.00219","96.28793"
"21.80000","0.36086","304.16641","0.39764","-0.71780","0.00220","96.70267"
"21.90000","0.36299","305.60681","0.39967","-0.71577","0.00221","97.16061"
"22.00000","0.36432","306.55496","0.40094","-0.71450","0.00221","97.46205"
"22.10000","0.36580","307.59546","0.40235","-0.71309","0.00222","97.79285"
"22.20000","0.36778","309.11035","0.40423","-0.71121","0.00223","98.27448"
"22.30000","0.36934","310.15802","0.40572","-0.70972","0.00224","98.60756"
"22.40000","0.37083","311.25876","0.40713","-0.70831","0.00225","98.95752"
"22.50000","0.37264","312.49149","0.40886","-0.70658","0.00226","99.34943"
"22.60000","0.37463","313.99826","0.41075","-0.70469","0.00227","99.82848"
"22.70000","0.37595","314.91342","0.41201","-0.70343","0.00227","100.11943"
"22.80000","0.37748","315.99310","0.41347","-0.70198","0.00228","100.46269"
"22.90000","0.37949","317.49884","0.41538","-0.70007","0.00229","100.94141"
"23.00000","0.38102","318.53809","0.41684","-0.69860","0.00230","101.27181"
"23.10000","0.38249","319.62851","0.41824","-0.69721","0.00231","101.61848"
"23.20000","0.38435","320.88754","0.42001","-0.69543","0.00232","102.01877"
"23.30000","0.38621","322.28925","0.42178","-0.69366","0.00233","102.46440"
"23.40000","0.38762","323.24829","0.42313","-0.69232","0.00234","102.76931"
"23.50000","0.38918","324.45694","0.42460","-0.69084","0.00234","103.15357"
"23.60000","0.39117","325.92902","0.42650","-0.68894","0.00235","103.62158"
"23.70000","0.39262","326.78802","0.42789","-0.68756","0.00236","103.89468"
"23.80000","0.39413","327.87851","0.42933","-0.68612","0.00237","104.24138"
"23.90000","0.39615","329.49942","0.43124","-0.68421","0.00238","104.75671"
"24.00000","0.39786","330.60486","0.43287","-0.68257","0.00239","105.10816"
