Specimen properties : Specimen label,"F4"
Specimen properties : Support span,"72.00",mm
Specimen properties : Thickness,"5.42",mm
Specimen properties : Width,"13.48",mm
Maximum Load : Maximum Load,"758.8",N
Tangent Modulus of Elasticity : Tangent Modulus of Elasticity,"22977500106.65960",Pa
Test : Rate 1,"1.00000",mm/min
Specimen notes : Specimen note 1,""

Time,Displacement,Load,Flexure extension,Corrected extension,Flexure strain (Corrected extension),Flexure stress
(s),(mm),(N),(mm),(mm),(mm/mm),(MPa)
"0.00000","-0.00006","49.44160","0.08134","-1.05568","0.00051","13.48428"
"0.10000","0.00005","49.46099","0.08145","-1.05557","0.00051","13.48957"
"0.20000","0.00101","49.79950","0.08237","-1.05466","0.00052","13.58189"
"0.30000","0.00241","50.42055","0.08368","-1.05334","0.00052","13.75127"
"0.40000","0.00427","51.46162","0.08540","-1.05162","0.00054","14.03520"
"0.50000","0.00638","52.47725","0.08738","-1.04965","0.00055","14.31220"
"0.60000","0.00785","53.27160","0.08874","-1.04828","0.00056","14.52884"
"0.70000","0.00940","54.05165","0.09018","-1.04684","0.00057","14.74159"
"0.80000","0.01162","55.11835","0.09226","-1.04476","0.00058","15.03251"
"0.90000","0.01312","55.83270","0.09367","-1.04336","0.00059","15.22734"
"1.00000","0.01452","56.62250","0.09496","-1.04207","0.00060","15.44274"
"1.10000","0.01626","57.28397","0.09661","-1.04042","0.00061","15.62314"
"1.20000","0.01802","58.25153","0.09825","-1.03878","0.00062","15.88703"
"1.30000","0.01952","58.91294","0.09967","-1.03735","0.00063","16.06742"
"1.40000","0.02115","59.77958","0.10120","-1.03582","0.00063","16.30377"
"1.50000","0.02337","60.77934","0.10330","-1.03372","0.00065","16.57644"
"1.60000","0.02470","61.54577","0.10455","-1.03248","0.00066","16.78547"
"1.70000","0.02613","62.24380","0.10590","-1.03113","0.00066","16.97584"
"1.80000","0.02798","63.14592","0.10764","-1.02938","0.00068","17.22188"
"1.90000","0.02974","63.94546","0.10931","-1.02772","0.00069","17.43994"
"2.00000","0.03119","64.65982","0.11067","-1.02635","0.00069","17.63477"
"2.10000","0.03281","65.37130","0.11220","-1.02482","0.00070","17.82881"
"2.20000","0.03495","66.43442","0.11423","-1.02280","0.00072","18.11876"
"2.30000","0.03637","67.12676","0.11557","-1.02146","0.00072","18.30758"
"2.40000","0.03784","67.79584","0.11695","-1.02008","0.00073","18.49006"
"2.50000","0.03975","68.61008","0.11877","-1.01825","0.00075","18.71213"
"2.60000","0.04132","69.52383","0.12023","-1.01680","0.00075","18.96134"
"2.70000","0.04281","70.29692","0.12163","-1.01539","0.00076","19.17218"
"2.80000","0.04460","71.17544","0.12332","-1.01371","0.00077","19.41178"
"2.90000","0.04662","72.13602","0.12523","-1.01180","0.00079","19.67377"
"3.00000","0.04800","72.86488","0.12652","-1.01050","0.00079","19.87255"
"3.10000","0.04945","73.48241","0.12790","-1.00913","0.00080","20.04097"
"3.20000","0.05142","74.50568","0.12975","-1.00728","0.00081","20.32004"
"3.30000","0.05300","75.26094","0.13124","-1.00578","0.00082","20.52603"
"3.40000","0.05445","76.03336","0.13260","-1.00443","0.00083","20.73669"
"3.50000","0.05629","76.91499","0.13434","-1.00269","0.00084","20.97714"
"3.60000","0.05830","78.00388","0.13622","-1.00080","0.00085","21.27411"
"3.70000","0.05968","78.49032","0.13754","-0.99949","0.00086","21.40678"
"3.80000","0.06114","79.30712","0.13891","-0.99812","0.00087","21.62955"
"3.90000","0.06308","80.15688","0.14074","-0.99628","0.00088","21.86130"
"4.00000","0.06462","80.98394","0.14219","-0.99484","0.00089","22.08687"
"4.10000","0.06613","81.71484","0.14362","-0.99341","0.00090","22.28621"
"4.20000","0.06806","82.64294","0.14544","-0.99159","0.00091","22.53933"
"4.30000","0.06988","83.48783","0.14715","-0.98987","0.00092","22.76976"
"4.40000","0.07126","84.24688","0.14845","-0.98858","0.00093","22.97678"
"4.50000","0.07286","84.90633","0.14997","-0.98705","0.00094","23.15663"
"4.60000","0.07483","85.93033","0.15182","-0.98521","0.00095","23.43591"
"4.70000","0.07624","86.52924","0.15317","-0.98386","0.00096","23.59925"
"4.80000","0.07772","87.27329","0.15456","-0.98247","0.00097","23.80218"
"4.90000","0.07978","88.25850","0.15652","-0.98051","0.00098","24.07087"
"5.00000","0.08150","88.96795","0.15817","-0.97885","0.00099","24.26436"
"5.10000","0.08295","89.62309","0.15955","-0.97747","0.00100","24.44304"
"5.20000","0.08454","90.47285","0.16107","-0.97596","0.00101","24.67479"
"5.30000","0.08645","91.29805","0.16289","-0.97413","0.00102","24.89985"
"5.40000","0.08792","91.97478","0.16429","-0.97273","0.00103","25.08442"
"5.50000","0.08944","92.62199","0.16575","-0.97127","0.00104","25.26093"
"5.60000","0.09156","93.74405","0.16776","-0.96927","0.00105","25.56695"
"5.70000","0.09316","94.48463","0.16929","-0.96774","0.00106","25.76893"
"5.80000","0.09450","94.93816","0.17058","-0.96644","0.00107","25.89263"
"5.90000","0.09623","95.74410","0.17224","-0.96479","0.00108","26.11243"
"6.00000","0.09817","96.77477","0.17408","-0.96295","0.00109","26.39353"
"6.10000","0.09958","97.33768","0.17543","-0.96159","0.00110","26.54705"
"6.20000","0.10110","98.04069","0.17688","-0.96015","0.00111","26.73878"
"6.30000","0.10322","99.11127","0.17890","-0.95812","0.00112","27.03076"
"6.40000","0.10481","99.82858","0.18042","-0.95661","0.00113","27.22640"
"6.50000","0.10618","100.48208","0.18172","-0.95531","0.00114","27.40463"
"6.60000","0.10794","101.14150","0.18342","-0.95361","0.00115","27.58447"
"6.70000","0.10977","101.98531","0.18516","-0.95186","0.00116","27.81460"
"6.80000","0.11121","102.66261","0.18654","-0.95049","0.00117","27.99933"
"6.90000","0.11280","103.45077","0.18806","-0.94897","0.00118","28.21428"
"7.00000","0.11494","104.26551","0.19011","-0.94692","0.00119","28.43649"
"7.10000","0.11641","105.06698","0.19151","-0.94552","0.00120","28.65507"
"7.20000","0.11783","105.56537","0.19288","-0.94415","0.00121","28.79100"
"7.30000","0.11972","106.53549","0.19468","-0.94235","0.00122","29.05558"
"7.40000","0.12146","107.35909","0.19633","-0.94070","0.00123","29.28020"
"7.50000","0.12281","107.86499","0.19763","-0.93940","0.00124","29.41818"
"7.60000","0.12443","108.56411","0.19918","-0.93784","0.00125","29.60885"
"7.70000","0.12663","109.60990","0.20128","-0.93575","0.00126","29.89407"
"7.80000","0.12810","110.34076","0.20268","-0.93435","0.00127","30.09340"
"7.90000","0.12949","110.85041","0.20402","-0.93301","0.00128","30.23240"
"8.00000","0.13140","111.78275","0.20583","-0.93119","0.00129","30.48668"
"8.10000","0.13305","112.60684","0.20740","-0.92962","0.00130","30.71143"
"8.20000","0.13449","113.06583","0.20880","-0.92822","0.00131","30.83661"
"8.30000","0.13618","113.98783","0.21040","-0.92662","0.00132","31.08807"
"8.40000","0.13827","114.90806","0.21240","-0.92462","0.00133","31.33905"
"8.50000","0.13967","115.45689","0.21375","-0.92327","0.00134","31.48873"
"8.60000","0.14111","116.20557","0.21512","-0.92191","0.00135","31.69292"
"8.70000","0.14313","117.10067","0.21705","-0.91998","0.00136","31.93704"
"8.80000","0.14473","117.86556","0.21857","-0.91846","0.00137","32.14565"
"8.90000","0.14617","118.45496","0.21996","-0.91707","0.00138","32.30640"
"9.00000","0.14789","119.30371","0.22159","-0.91544","0.00139","32.53788"
"9.10000","0.14993","120.24553","0.22354","-0.91349","0.00140","32.79474"
"9.20000","0.15131","120.73142","0.22488","-0.91215","0.00141","32.92726"
"9.30000","0.15278","121.41811","0.22628","-0.91075","0.00142","33.11454"
"9.40000","0.15482","122.43259","0.22822","-0.90881","0.00143","33.39122"
"9.50000","0.15635","123.06665","0.22969","-0.90734","0.00144","33.56415"
"9.60000","0.15779","123.65756","0.23107","-0.90596","0.00145","33.72531"
"9.70000","0.15964","124.66948","0.23282","-0.90421","0.00146","34.00129"
"9.80000","0.16156","125.52629","0.23465","-0.90237","0.00147","34.23497"
"9.90000","0.16296","126.16228","0.23599","-0.90104","0.00148","34.40842"
"10.00000","0.16449","126.76193","0.23747","-0.89956","0.00149","34.57197"
"10.10000","0.16652","127.79419","0.23939","-0.89763","0.00150","34.85350"
"10.20000","0.16798","128.43112","0.24079","-0.89624","0.00151","35.02721"
"10.30000","0.16943","129.11177","0.24217","-0.89485","0.00152","35.21284"
"10.40000","0.17135","130.09085","0.24400","-0.89303","0.00153","35.47987"
"10.50000","0.17327","130.98796","0.24583","-0.89119","0.00154","35.72454"
"10.60000","0.17459","131.58617","0.24710","-0.88993","0.00155","35.88769"
"10.70000","0.17617","132.24747","0.24861","-0.88842","0.00156","36.06805"
"10.80000","0.17820","133.27203","0.25054","-0.88649","0.00157","36.34748"
"10.90000","0.17964","133.87015","0.25192","-0.88510","0.00158","36.51060"
"11.00000","0.18113","134.51888","0.25335","-0.88368","0.00159","36.68753"
"11.10000","0.18312","135.67616","0.25523","-0.88179","0.00160","37.00316"
"11.20000","0.18482","136.45444","0.25686","-0.88017","0.00161","37.21542"
"11.30000","0.18621","136.99872","0.25819","-0.87884","0.00162","37.36386"
"11.40000","0.18786","137.86134","0.25975","-0.87727","0.00163","37.59913"
"11.50000","0.18989","138.90572","0.26168","-0.87534","0.00164","37.88396"
"11.60000","0.19129","139.53236","0.26302","-0.87401","0.00165","38.05487"
"11.70000","0.19277","140.25214","0.26443","-0.87260","0.00166","38.25117"
"11.80000","0.19489","141.21349","0.26646","-0.87057","0.00167","38.51336"
"11.90000","0.19645","142.01175","0.26794","-0.86909","0.00168","38.73108"
"12.00000","0.19783","142.63014","0.26926","-0.86777","0.00169","38.89973"
"12.10000","0.19954","143.47705","0.27089","-0.86614","0.00170","39.13071"
"12.20000","0.20151","144.51161","0.27276","-0.86427","0.00171","39.41287"
"12.30000","0.20293","145.09952","0.27412","-0.86291","0.00172","39.57321"
"12.40000","0.20442","145.81932","0.27554","-0.86149","0.00173","39.76952"
"12.50000","0.20662","147.00160","0.27762","-0.85940","0.00174","40.09196"
"12.60000","0.20808","147.76538","0.27901","-0.85802","0.00175","40.30027"
"12.70000","0.20951","148.29161","0.28039","-0.85664","0.00176","40.44379"
"12.80000","0.21126","149.22403","0.28205","-0.85498","0.00177","40.69809"
"12.90000","0.21311","150.20612","0.28381","-0.85322","0.00178","40.96594"
"13.00000","0.21455","150.87570","0.28518","-0.85184","0.00179","41.14856"
"13.10000","0.21611","151.71465","0.28666","-0.85037","0.00180","41.37736"
"13.20000","0.21835","152.87915","0.28879","-0.84824","0.00181","41.69496"
"13.30000","0.21971","153.42230","0.29009","-0.84694","0.00182","41.84309"
"13.40000","0.22114","154.16754","0.29145","-0.84558","0.00183","42.04634"
"13.50000","0.22297","155.03888","0.29319","-0.84384","0.00184","42.28399"
"13.60000","0.22481","156.03076","0.29494","-0.84209","0.00185","42.55450"
"13.70000","0.22627","156.68990","0.29633","-0.84070","0.00186","42.73427"
"13.80000","0.22778","157.42511","0.29777","-0.83926","0.00187","42.93478"
"13.90000","0.22997","158.58633","0.29986","-0.83717","0.00188","43.25149"
"14.00000","0.23135","159.22964","0.30119","-0.83584","0.00189","43.42694"
"14.10000","0.23284","159.90596","0.30262","-0.83441","0.00190","43.61139"
"14.20000","0.23472","160.94833","0.30441","-0.83262","0.00191","43.89568"
"14.30000","0.23638","161.77399","0.30600","-0.83103","0.00192","44.12086"
"14.40000","0.23787","162.40172","0.30743","-0.82959","0.00193","44.29206"
"14.50000","0.23952","163.36061","0.30901","-0.82802","0.00194","44.55358"
"14.60000","0.24170","164.48257","0.31109","-0.82594","0.00195","44.85958"
"14.70000","0.24300","164.97981","0.31235","-0.82468","0.00196","44.99519"
"14.80000","0.24449","165.80124","0.31377","-0.82326","0.00197","45.21922"
"14.90000","0.24637","166.74640","0.31557","-0.82146","0.00198","45.47699"
"15.00000","0.24801","167.63100","0.31713","-0.81989","0.00199","45.71825"
"15.10000","0.24951","168.24898","0.31858","-0.81845","0.00200","45.88680"
"15.20000","0.25121","169.15373","0.32020","-0.81683","0.00201","46.13355"
"15.30000","0.25328","170.24995","0.32218","-0.81485","0.00202","46.43252"
"15.40000","0.25468","170.82805","0.32353","-0.81349","0.00203","46.59019"
"15.50000","0.25613","171.58728","0.32492","-0.81211","0.00204","46.79725"
"15.60000","0.25806","172.74649","0.32674","-0.81028","0.00205","47.11341"
"15.70000","0.25962","173.36682","0.32825","-0.80878","0.00206","47.28259"
"15.80000","0.26117","174.21417","0.32973","-0.80730","0.00207","47.51369"
"15.90000","0.26300","175.17972","0.33148","-0.80555","0.00208","47.77702"
"16.00000","0.26492","176.06186","0.33332","-0.80370","0.00209","48.01761"
"16.10000","0.26632","176.89830","0.33465","-0.80238","0.00210","48.24574"
"16.20000","0.26783","177.49898","0.33611","-0.80092","0.00211","48.40956"
"16.30000","0.26981","178.62038","0.33799","-0.79903","0.00212","48.71540"
"16.40000","0.27131","179.39690","0.33943","-0.79759","0.00213","48.92718"
"16.50000","0.27278","180.04012","0.34085","-0.79618","0.00214","49.10261"
"16.60000","0.27470","181.01031","0.34269","-0.79434","0.00215","49.36721"
"16.70000","0.27653","182.03864","0.34442","-0.79260","0.00216","49.64767"
"16.80000","0.27798","182.57066","0.34583","-0.79120","0.00217","49.79277"
"16.90000","0.27957","183.43958","0.34735","-0.78968","0.00218","50.02975"
"17.00000","0.28144","184.47002","0.34913","-0.78789","0.00219","50.31078"
"17.10000","0.28291","185.11766","0.35055","-0.78648","0.00220","50.48742"
"17.20000","0.28446","185.92107","0.35203","-0.78500","0.00221","50.70653"
"17.30000","0.28653","187.04956","0.35400","-0.78303","0.00222","51.01431"
"17.40000","0.28816","187.85373","0.35556","-0.78147","0.00223","51.23363"
"17.50000","0.28959","188.52840","0.35693","-0.78009","0.00224","51.41763"
"17.60000","0.29116","189.32645","0.35844","-0.77859","0.00225","51.63528"
"17.70000","0.29317","190.40546","0.36036","-0.77667","0.00226","51.92956"
"17.80000","0.29459","191.01952","0.36172","-0.77530","0.00227","52.09704"
"17.90000","0.29609","191.88318","0.36315","-0.77388","0.00228","52.33258"
"18.00000","0.29825","193.07286","0.36521","-0.77181","0.00229","52.65705"
"18.10000","0.29982","193.81296","0.36672","-0.77031","0.00230","52.85890"
"18.20000","0.30125","194.30093","0.36811","-0.76892","0.00231","52.99198"
"18.30000","0.30288","195.31467","0.36965","-0.76738","0.00232","53.26846"
"18.40000","0.30474","196.20457","0.37144","-0.76559","0.00233","53.51117"
"18.50000","0.30626","197.07426","0.37288","-0.76415","0.00234","53.74836"
"18.60000","0.30777","197.76346","0.37433","-0.76270","0.00235","53.93632"
"18.70000","0.30996","198.96895","0.37642","-0.76061","0.00236","54.26510"
"18.80000","0.31143","199.63422","0.37783","-0.75920","0.00237","54.44654"
"18.90000","0.31286","200.41000","0.37920","-0.75783","0.00238","54.65812"
"19.00000","0.31464","201.28819","0.38090","-0.75612","0.00239","54.89763"
"19.10000","0.31642","202.26122","0.38261","-0.75442","0.00240","55.16300"
"19.20000","0.31787","202.94781","0.38400","-0.75303","0.00241","55.35026"
"19.30000","0.31941","203.71410","0.38548","-0.75155","0.00242","55.55925"
"19.40000","0.32166","205.04277","0.38762","-0.74940","0.00243","55.92162"
"19.50000","0.32308","205.55202","0.38900","-0.74803","0.00244","56.06051"
"19.60000","0.32453","206.24690","0.39039","-0.74663","0.00245","56.25002"
"19.70000","0.32632","207.26447","0.39211","-0.74492","0.00246","56.52755"
"19.80000","0.32808","208.11259","0.39379","-0.74323","0.00247","56.75886"
"19.90000","0.32952","208.75519","0.39519","-0.74184","0.00248","56.93411"
"20.00000","0.33114","209.68153","0.39673","-0.74030","0.00249","57.18676"
"20.10000","0.33335","210.80519","0.39885","-0.73818","0.00250","57.49321"
"20.20000","0.33467","211.59836","0.40011","-0.73692","0.00251","57.70953"
"20.30000","0.33612","212.18974","0.40151","-0.73552","0.00252","57.87082"
"20.40000","0.33805","213.18593","0.40336","-0.73367","0.00253","58.14252"
"20.50000","0.33973","214.06093","0.40497","-0.73205","0.00254","58.38116"
"20.60000","0.34118","214.76021","0.40637","-0.73066","0.00255","58.57187"
"20.70000","0.34282","215.60934","0.40794","-0.72909","0.00256","58.80346"
"20.80000","0.34498","216.83981","0.41000","-0.72703","0.00257","59.13905"
"20.90000","0.34636","217.35841","0.41134","-0.72569","0.00258","59.28048"
"21.00000","0.34783","218.17110","0.41274","-0.72429","0.00259","59.50213"
"21.10000","0.34975","219.25301","0.41457","-0.72246","0.00260","59.79720"
"21.20000","0.35134","219.99509","0.41611","-0.72092","0.00261","59.99959"
"21.30000","0.35283","220.75029","0.41754","-0.71949","0.00262","60.20555"
"21.40000","0.35460","221.60718","0.41923","-0.71779","0.00263","60.43925"
"21.50000","0.35662","222.68591","0.42117","-0.71586","0.00264","60.73346"
"21.60000","0.35798","223.48433","0.42246","-0.71457","0.00265","60.95121"
"21.70000","0.35948","224.08078","0.42392","-0.71311","0.00266","61.11388"
"21.80000","0.36155","225.28755","0.42589","-0.71114","0.00267","61.44301"
"21.90000","0.36297","225.87990","0.42726","-0.70976","0.00268","61.60456"
"22.00000","0.36442","226.63858","0.42866","-0.70837","0.00269","61.81148"
"22.10000","0.36630","227.61163","0.43045","-0.70657","0.00270","62.07686"
"22.20000","0.36826","228.73640","0.43233","-0.70470","0.00271","62.38362"
"22.30000","0.36964","229.27527","0.43366","-0.70336","0.00272","62.53059"
"22.40000","0.37118","230.09845","0.43513","-0.70189","0.00273","62.75509"
"22.50000","0.37318","231.14558","0.43705","-0.69997","0.00274","63.04068"
"22.60000","0.37461","231.80746","0.43843","-0.69859","0.00275","63.22120"
"22.70000","0.37609","232.50284","0.43985","-0.69717","0.00276","63.41085"
"22.80000","0.37806","233.71701","0.44173","-0.69530","0.00277","63.74199"
"22.90000","0.37985","234.56912","0.44345","-0.69358","0.00278","63.97438"
"23.00000","0.38124","235.20071","0.44478","-0.69224","0.00279","64.14664"
"23.10000","0.38282","236.00613","0.44631","-0.69072","0.00280","64.36630"
"23.20000","0.38488","237.17606","0.44827","-0.68875","0.00281","64.68538"
"23.30000","0.38627","237.76102","0.44961","-0.68741","0.00282","64.84492"
"23.40000","0.38779","238.48631","0.45108","-0.68595","0.00283","65.04272"
"23.50000","0.38977","239.57570","0.45297","-0.68406","0.00284","65.33984"
"23.60000","0.39148","240.47102","0.45461","-0.68242","0.00285","65.58402"
"23.70000","0.39289","241.09802","0.45596","-0.68106","0.00286","65.75502"
"23.80000","0.39452","241.93065","0.45753","-0.67949","0.00287","65.98211"
"23.90000","0.39656","243.00064","0.45948","-0.67754","0.00288","66.27393"
"24.00000","0.39791","243.60915","0.46079","-0.67624","0.00289","66.43989"
"24.10000","0.39941","244.31448","0.46223","-0.67479","0.00290","66.63226"
"24.20000","0.40155","245.59752","0.46427","-0.67276","0.00291","66.98218"
"24.30000","0.40311","246.27417","0.46578","-0.67125","0.00292","67.16672"
"24.40000","0.40455","247.11136","0.46716","-0.66987","0.00293","67.39505"
"24.50000","0.40627","247.89510","0.46882","-0.66821","0.00294","67.60880"
