Specimen properties : Specimen label,"G2"
Specimen properties : Support span,"72.00",mm
Specimen properties : Thickness,"4.30",mm
Specimen properties : Width,"13.79",mm
Maximum Load : Maximum Load,"910.6",N
Tangent Modulus of Elasticity : Tangent Modulus of Elasticity,"42705467014.90370",Pa
Test : Rate 1,"1.00000",mm/min
Specimen notes : Specimen note 1,""

Time,Displacement,Load,Flexure extension,Corrected extension,Flexure strain (Corrected extension),Flexure stress
(s),(mm),(N),(mm),(mm),(mm/mm),(MPa)
"0.00000","-0.00007","49.29149","0.07912","-1.05568","0.00039","20.87827"
"0.10000","0.00003","49.50685","0.07920","-1.05560","0.00039","20.96949"
"0.20000","0.00098","49.88046","0.08010","-1.05470","0.00040","21.12774"
"0.30000","0.00208","50.33680","0.08113","-1.05367","0.00040","21.32103"
"0.40000","0.00426","51.30442","0.08319","-1.05161","0.00041","21.73088"
"0.50000","0.00634","52.17069","0.08515","-1.04965","0.00042","22.09781"
"0.60000","0.00767","52.80644","0.08640","-1.04840","0.00043","22.36709"
"0.70000","0.00940","53.57438","0.08802","-1.04677","0.00044","22.69237"
"0.80000","0.01135","54.42754","0.08985","-1.04494","0.00045","23.05374"
"0.90000","0.01273","55.08697","0.09114","-1.04366","0.00045","23.33305"
"1.00000","0.01427","55.70049","0.09261","-1.04219","0.00046","23.59292"
"1.10000","0.01648","56.67802","0.09469","-1.04011","0.00047","24.00696"
"1.20000","0.01792","57.26545","0.09604","-1.03876","0.00048","24.25578"
"1.30000","0.01930","57.76345","0.09736","-1.03743","0.00048","24.46672"
"1.40000","0.02116","58.58393","0.09912","-1.03567","0.00049","24.81425"
"1.50000","0.02303","59.40409","0.10090","-1.03390","0.00050","25.16164"
"1.60000","0.02444","60.04325","0.10223","-1.03257","0.00051","25.43237"
"1.70000","0.02599","60.76110","0.10370","-1.03110","0.00052","25.73643"
"1.80000","0.02820","61.71164","0.10580","-1.02900","0.00053","26.13904"
"1.90000","0.02953","62.21000","0.10707","-1.02772","0.00053","26.35013"
"2.00000","0.03096","62.79240","0.10843","-1.02636","0.00054","26.59682"
"2.10000","0.03285","63.56176","0.11024","-1.02456","0.00055","26.92269"
"2.20000","0.03465","64.34410","0.11194","-1.02285","0.00056","27.25407"
"2.30000","0.03606","64.87646","0.11329","-1.02151","0.00056","27.47956"
"2.40000","0.03766","65.54626","0.11481","-1.01999","0.00057","27.76327"
"2.50000","0.03989","66.50274","0.11692","-1.01787","0.00058","28.16840"
"2.60000","0.04119","66.94898","0.11818","-1.01662","0.00059","28.35741"
"2.70000","0.04265","67.59375","0.11956","-1.01523","0.00060","28.63051"
"2.80000","0.04460","68.47348","0.12141","-1.01339","0.00060","29.00314"
"2.90000","0.04623","69.09203","0.12296","-1.01184","0.00061","29.26514"
"3.00000","0.04769","69.65017","0.12435","-1.01044","0.00062","29.50154"
"3.10000","0.04941","70.50648","0.12598","-1.00882","0.00063","29.86425"
"3.20000","0.05157","71.42889","0.12803","-1.00676","0.00064","30.25495"
"3.30000","0.05282","71.84892","0.12923","-1.00557","0.00064","30.43286"
"3.40000","0.05428","72.54116","0.13061","-1.00418","0.00065","30.72608"
"3.50000","0.05628","73.32875","0.13252","-1.00228","0.00066","31.05967"
"3.60000","0.05789","73.99550","0.13405","-1.00074","0.00067","31.34209"
"3.70000","0.05934","74.58530","0.13543","-0.99936","0.00067","31.59191"
"3.80000","0.06111","75.25964","0.13713","-0.99767","0.00068","31.87753"
"3.90000","0.06310","76.12315","0.13901","-0.99578","0.00069","32.24329"
"4.00000","0.06448","76.76928","0.14031","-0.99449","0.00070","32.51697"
"4.10000","0.06600","77.30306","0.14177","-0.99302","0.00071","32.74306"
"4.20000","0.06803","78.28970","0.14368","-0.99111","0.00072","33.16097"
