Specimen properties : Specimen label,"G4"
Specimen properties : Support span,"72.00",mm
Specimen properties : Thickness,"4.01",mm
Specimen properties : Width,"13.45",mm
Maximum Load : Maximum Load,"1013",N
Tangent Modulus of Elasticity : Tangent Modulus of Elasticity,"56344381149.37130",Pa
Test : Rate 1,"1.00000",mm/min
Specimen notes : Specimen note 1,""

Time,Displacement,Load,Flexure extension,Corrected extension,Flexure strain (Corrected extension),Flexure stress
(s),(mm),(N),(mm),(mm),(mm/mm),(MPa)
"0.00000","0.00000","48.30269","0.05385","-1.05547","0.00025","24.12037"
"0.10000","0.00019","48.34735","0.05404","-1.05529","0.00025","24.14267"
"0.20000","0.00097","48.70306","0.05477","-1.05456","0.00025","24.32030"
"0.30000","0.00241","49.22267","0.05615","-1.05318","0.00026","24.57977"
"0.40000","0.00478","50.23481","0.05837","-1.05096","0.00027","25.08519"
"0.50000","0.00626","51.00669","0.05976","-1.04957","0.00028","25.47064"
"0.60000","0.00808","51.82632","0.06147","-1.04786","0.00029","25.87993"
"0.70000","0.00992","52.60368","0.06320","-1.04613","0.00029","26.26811"
"0.80000","0.01134","53.14886","0.06455","-1.04478","0.00030","26.54035"
"0.90000","0.01294","53.89845","0.06605","-1.04328","0.00031","26.91467"
"1.00000","0.01510","54.93198","0.06807","-1.04126","0.00032","27.43077"
"1.10000","0.01655","55.48455","0.06944","-1.03989","0.00032","27.70670"
"1.20000","0.01799","56.06143","0.07081","-1.03852","0.00033","27.99477"
"1.30000","0.01988","56.95805","0.07257","-1.03675","0.00034","28.44250"
"1.40000","0.02145","57.63866","0.07406","-1.03527","0.00034","28.78237"
"1.50000","0.02298","58.17608","0.07552","-1.03381","0.00035","29.05074"
"1.60000","0.02473","58.92774","0.07718","-1.03214","0.00036","29.42609"
"1.70000","0.02678","59.92181","0.07911","-1.03021","0.00037","29.92249"
"1.80000","0.02817","60.59592","0.08043","-1.02890","0.00037","30.25911"
"1.90000","0.02961","61.04051","0.08182","-1.02751","0.00038","30.48112"
"2.00000","0.03156","61.89180","0.08366","-1.02566","0.00039","30.90622"
"2.10000","0.03319","62.60401","0.08521","-1.02411","0.00040","31.26187"
"2.20000","0.03464","63.16448","0.08660","-1.02273","0.00040","31.54174"
"2.30000","0.03645","63.89661","0.08832","-1.02101","0.00041","31.90734"
"2.40000","0.03847","64.79383","0.09024","-1.01909","0.00042","32.35537"
"2.50000","0.03984","65.32693","0.09155","-1.01778","0.00042","32.62158"
"2.60000","0.04130","65.94047","0.09294","-1.01639","0.00043","32.92796"
"2.70000","0.04324","66.80556","0.09477","-1.01456","0.00044","33.35994"
"2.80000","0.04480","67.37425","0.09626","-1.01306","0.00045","33.64393"
"2.90000","0.04630","67.94032","0.09770","-1.01162","0.00045","33.92660"
"3.00000","0.04821","68.76004","0.09951","-1.00981","0.00046","34.33593"
"3.10000","0.05005","69.44836","0.10128","-1.00805","0.00047","34.67965"
"3.20000","0.05141","69.96877","0.10257","-1.00675","0.00048","34.93952"
"3.30000","0.05301","70.65089","0.10409","-1.00523","0.00048","35.28014"
"3.40000","0.05498","71.52259","0.10596","-1.00337","0.00049","35.71544"
"3.50000","0.05641","71.91980","0.10734","-1.00198","0.00050","35.91379"
"3.60000","0.05789","72.66683","0.10874","-1.00059","0.00050","36.28682"
"3.70000","0.05991","73.46928","0.11066","-0.99866","0.00051","36.68753"
"3.80000","0.06167","74.05527","0.11235","-0.99698","0.00052","36.98016"
"3.90000","0.06311","74.71452","0.11372","-0.99561","0.00053","37.30936"
"4.00000","0.06468","75.23867","0.11522","-0.99411","0.00053","37.57109"
"4.10000","0.06661","76.22769","0.11703","-0.99229","0.00054","38.06497"
"4.20000","0.06809","76.60375","0.11847","-0.99085","0.00055","38.25276"
"4.30000","0.06959","77.31332","0.11989","-0.98944","0.00056","38.60709"
"4.40000","0.07167","78.14614","0.12188","-0.98745","0.00057","39.02296"
"4.50000","0.07331","78.72126","0.12345","-0.98588","0.00057","39.31015"
"4.60000","0.07468","79.22633","0.12476","-0.98457","0.00058","39.56237"
