Specimen properties : Specimen label,"G1"
Specimen properties : Support span,"72.00",mm
Specimen properties : Thickness,"4.13",mm
Specimen properties : Width,"14.06",mm
Maximum Load : Maximum Load,"893.5",N
Tangent Modulus of Elasticity : Tangent Modulus of Elasticity,"49194255565.32100",Pa
Test : Rate 1,"1.00000",mm/min
Specimen notes : Specimen note 1,""

Time,Displacement,Load,Flexure extension,Corrected extension,Flexure strain (Corrected extension),Flexure stress
(s),(mm),(N),(mm),(mm),(mm/mm),(MPa)
"0.00000","0.00000","43.47411","0.08281","-1.05482","0.00040","19.57803"
"0.10000","0.00023","43.65429","0.08302","-1.05461","0.00040","19.65917"
"0.20000","0.00099","43.92837","0.08374","-1.05389","0.00040","19.78260"
"0.30000","0.00280","44.99321","0.08541","-1.05222","0.00041","20.26214"
"0.40000","0.00466","46.05177","0.08712","-1.05051","0.00042","20.73885"
"0.50000","0.00639","46.86226","0.08875","-1.04889","0.00042","21.10384"
"0.60000","0.00860","48.21410","0.09078","-1.04686","0.00043","21.71263"
"0.70000","0.00998","48.79708","0.09208","-1.04555","0.00044","21.97516"
"0.80000","0.01140","49.55514","0.09340","-1.04424","0.00045","22.31655"
"0.90000","0.01333","50.59207","0.09519","-1.04245","0.00046","22.78352"
"1.00000","0.01491","51.41939","0.09665","-1.04098","0.00046","23.15609"
"1.10000","0.01644","52.26679","0.09808","-1.03956","0.00047","23.53771"
"1.20000","0.01825","53.13149","0.09976","-1.03787","0.00048","23.92711"
"1.30000","0.02024","54.05730","0.10163","-1.03600","0.00049","24.34404"
"1.40000","0.02161","54.72893","0.10291","-1.03473","0.00049","24.64650"
"1.50000","0.02306","55.52743","0.10426","-1.03338","0.00050","25.00610"
"1.60000","0.02506","56.52473","0.10612","-1.03151","0.00051","25.45522"
"1.70000","0.02660","57.09479","0.10758","-1.03005","0.00051","25.71194"
"1.80000","0.02807","57.92086","0.10895","-1.02868","0.00052","26.08395"
"1.90000","0.02994","58.80817","0.11072","-1.02692","0.00053","26.48354"
"2.00000","0.03181","59.72474","0.11248","-1.02516","0.00054","26.89630"
"2.10000","0.03326","60.32807","0.11386","-1.02377","0.00054","27.16800"
"2.20000","0.03482","61.10193","0.11533","-1.02231","0.00055","27.51650"
"2.30000","0.03674","61.94074","0.11715","-1.02049","0.00056","27.89425"
"2.40000","0.03820","62.61106","0.11853","-1.01910","0.00057","28.19612"
"2.50000","0.03974","63.40408","0.11998","-1.01765","0.00057","28.55325"
"2.60000","0.04178","64.30487","0.12191","-1.01572","0.00058","28.95891"
"2.70000","0.04346","65.07254","0.12350","-1.01414","0.00059","29.30462"
"2.80000","0.04489","65.73186","0.12486","-1.01278","0.00060","29.60154"
"2.90000","0.04646","66.50976","0.12634","-1.01130","0.00060","29.95185"
"3.00000","0.04846","67.47425","0.12822","-1.00942","0.00061","30.38620"
"3.10000","0.04989","68.06081","0.12959","-1.00805","0.00062","30.65035"
"3.20000","0.05138","68.63499","0.13100","-1.00663","0.00063","30.90892"
"3.30000","0.05351","69.82738","0.13299","-1.00464","0.00064","31.44590"
"3.40000","0.05512","70.41597","0.13454","-1.00310","0.00064","31.71097"
"3.50000","0.05655","71.03535","0.13590","-1.00174","0.00065","31.98990"
