Specimen properties : Specimen label,"G3"
Specimen properties : Support span,"72.00",mm
Specimen properties : Thickness,"4.32",mm
Specimen properties : Width,"14.28",mm
Maximum Load : Maximum Load,"1154",N
Tangent Modulus of Elasticity : Tangent Modulus of Elasticity,"46011118855.75730",Pa
Test : Rate 1,"1.00000",mm/min
Specimen notes : Specimen note 1,""

Time,Displacement,Load,Flexure extension,Corrected extension,Flexure strain (Corrected extension),Flexure stress
(s),(mm),(N),(mm),(mm),(mm/mm),(MPa)
"0.00000","0.00000","49.21110","0.00963","-1.05559","0.00005","19.94303"
"0.10000","0.00019","49.18472","0.00983","-1.05540","0.00005","19.93234"
"0.20000","0.00092","49.62514","0.01050","-1.05473","0.00005","20.11082"
"0.30000","0.00237","50.14473","0.01188","-1.05335","0.00006","20.32139"
"0.40000","0.00485","51.24405","0.01421","-1.05102","0.00007","20.76689"
"0.50000","0.00634","51.94427","0.01561","-1.04962","0.00008","21.05066"
"0.60000","0.00799","52.72348","0.01715","-1.04807","0.00009","21.36644"
"0.70000","0.00992","53.45259","0.01898","-1.04625","0.00009","21.66191"
"0.80000","0.01138","54.12025","0.02036","-1.04487","0.00010","21.93249"
"0.90000","0.01287","54.81429","0.02175","-1.04347","0.00011","22.21375"
"1.00000","0.01498","55.74919","0.02373","-1.04149","0.00012","22.59262"
"1.10000","0.01663","56.50735","0.02528","-1.03995","0.00013","22.89987"
"1.20000","0.01797","57.07760","0.02654","-1.03868","0.00013","23.13097"
"1.30000","0.01969","57.81997","0.02818","-1.03705","0.00014","23.43182"
"1.40000","0.02166","58.75114","0.03003","-1.03520","0.00015","23.80918"
"1.50000","0.02303","59.30310","0.03134","-1.03388","0.00016","24.03286"
"1.60000","0.02455","59.88762","0.03279","-1.03244","0.00016","24.26974"
"1.70000","0.02673","60.85168","0.03486","-1.03037","0.00017","24.66043"
"1.80000","0.02828","61.63815","0.03631","-1.02891","0.00018","24.97915"
"1.90000","0.02966","62.10666","0.03764","-1.02758","0.00019","25.16902"
"2.00000","0.03139","62.93346","0.03927","-1.02595","0.00020","25.50408"
"2.10000","0.03324","63.72611","0.04103","-1.02419","0.00021","25.82531"
"2.20000","0.03469","64.36790","0.04240","-1.02282","0.00021","26.08539"
"2.30000","0.03627","65.00313","0.04391","-1.02131","0.00022","26.34282"
"2.40000","0.03842","65.88050","0.04596","-1.01927","0.00023","26.69838"
"2.50000","0.03988","66.65736","0.04733","-1.01790","0.00024","27.01321"
"2.60000","0.04126","67.17079","0.04865","-1.01657","0.00024","27.22128"
"2.70000","0.04319","67.99010","0.05048","-1.01475","0.00025","27.55331"
"2.80000","0.04493","68.80786","0.05213","-1.01310","0.00026","27.88471"
"2.90000","0.04627","69.39516","0.05340","-1.01183","0.00027","28.12272"
"3.00000","0.04789","70.14413","0.05493","-1.01030","0.00027","28.42624"
"3.10000","0.05010","70.96692","0.05704","-1.00818","0.00029","28.75968"
"3.20000","0.05157","71.64458","0.05843","-1.00679","0.00029","29.03430"
"3.30000","0.05296","72.24904","0.05975","-1.00548","0.00030","29.27926"
"3.40000","0.05486","73.18321","0.06154","-1.00368","0.00031","29.65784"
"3.50000","0.05653","73.87028","0.06314","-1.00209","0.00032","29.93628"
"3.60000","0.05794","74.54002","0.06447","-1.00076","0.00032","30.20769"
"3.70000","0.05963","75.18027","0.06608","-0.99914","0.00033","30.46716"
"3.80000","0.06178","76.07925","0.06813","-0.99710","0.00034","30.83147"
"3.90000","0.06314","76.75359","0.06940","-0.99582","0.00035","31.10475"
"4.00000","0.06456","77.40859","0.07075","-0.99448","0.00035","31.37020"
"4.10000","0.06659","78.29517","0.07267","-0.99255","0.00036","31.72949"
"4.20000","0.06820","78.88539","0.07422","-0.99101","0.00037","31.96868"
"4.30000","0.06961","79.49421","0.07556","-0.98967","0.00038","32.21540"
"4.40000","0.07137","80.42619","0.07721","-0.98802","0.00039","32.59309"
"4.50000","0.07342","81.23695","0.07916","-0.98607","0.00040","32.92166"
"4.60000","0.07478","81.86198","0.08045","-0.98478","0.00040","33.17495"
"4.70000","0.07623","82.45840","0.08183","-0.98340","0.00041","33.41666"
