Specimen properties : Specimen label,"7"
Specimen properties : Support span,"72.00",mm
Specimen properties : Thickness,"4.67",mm
Specimen properties : Width,"13.07",mm
Maximum Load : Maximum Load,"449.4",N
Tangent Modulus of Elasticity : Tangent Modulus of Elasticity,"19052353732.90140",Pa
Test : Rate 1,"1.00000",mm/min
Specimen notes : Specimen note 1,""

Time,Displacement,Load,Flexure extension,Corrected extension,Flexure strain (Corrected extension),Flexure stress
(s),(mm),(N),(mm),(mm),(mm/mm),(MPa)
"0.00000","0.00000","9.21764","-0.03862","-1.04677","-0.00021","3.49248"
"0.10000","0.00010","9.22517","-0.03853","-1.04667","-0.00021","3.49533"
"0.20000","0.00095","9.44871","-0.03777","-1.04592","-0.00020","3.58003"
"0.30000","0.00216","9.54388","-0.03660","-1.04475","-0.00020","3.61609"
"0.40000","0.00460","10.12777","-0.03441","-1.04256","-0.00019","3.83732"
"0.50000","0.00626","10.52268","-0.03293","-1.04107","-0.00018","3.98695"
"0.60000","0.00774","10.83181","-0.03158","-1.03972","-0.00017","4.10408"
"0.70000","0.00981","11.24494","-0.02968","-1.03783","-0.00016","4.26061"
"0.80000","0.01132","11.56632","-0.02831","-1.03646","-0.00015","4.38238"
"0.90000","0.01276","11.73667","-0.02695","-1.03509","-0.00015","4.44692"
"1.00000","0.01460","12.32191","-0.02536","-1.03350","-0.00014","4.66866"
"1.10000","0.01658","12.59112","-0.02349","-1.03164","-0.00013","4.77066"
"1.20000","0.01793","12.91269","-0.02229","-1.03044","-0.00012","4.89250"
"1.30000","0.01945","13.21139","-0.02089","-1.02904","-0.00011","5.00568"
"1.40000","0.02154","13.64232","-0.01899","-1.02714","-0.00010","5.16895"
"1.50000","0.02293","13.82429","-0.01768","-1.02582","-0.00010","5.23790"
"1.60000","0.02444","14.19844","-0.01633","-1.02448","-0.00009","5.37966"
"1.70000","0.02635","14.55597","-0.01458","-1.02272","-0.00008","5.51513"
"1.80000","0.02827","14.86782","-0.01279","-1.02094","-0.00007","5.63329"
"1.90000","0.02956","15.11662","-0.01160","-1.01975","-0.00006","5.72755"
"2.00000","0.03115","15.36177","-0.01012","-1.01827","-0.00005","5.82044"
"2.10000","0.03322","15.77629","-0.00822","-1.01637","-0.00004","5.97750"
"2.20000","0.03463","16.05762","-0.00687","-1.01502","-0.00004","6.08409"
"2.30000","0.03610","16.28682","-0.00545","-1.01360","-0.00003","6.17093"
"2.40000","0.03807","16.58642","-0.00355","-1.01169","-0.00002","6.28445"
"2.50000","0.03983","17.05127","-0.00188","-1.01003","-0.00001","6.46057"
"2.60000","0.04118","17.26965","-0.00058","-1.00872","0.00000","6.54332"
"2.70000","0.04283","17.52151","0.00102","-1.00712","0.00001","6.63874"
"2.80000","0.04489","17.89196","0.00300","-1.00515","0.00002","6.77910"
"2.90000","0.04623","18.12626","0.00429","-1.00385","0.00002","6.86788"
"3.00000","0.04773","18.44888","0.00573","-1.00242","0.00003","6.99011"
