Specimen properties : Specimen label,"F2"
Specimen properties : Support span,"72.00",mm
Specimen properties : Thickness,"4.67",mm
Specimen properties : Width,"14.37",mm
Maximum Load : Maximum Load,"1339",N
Tangent Modulus of Elasticity : Tangent Modulus of Elasticity,"49183102090.80060",Pa
Test : Rate 1,"1.00000",mm/min
Specimen notes : Specimen note 1,""

Time,Displacement,Load,Flexure extension,Corrected extension,Flexure strain (Corrected extension),Flexure stress
(s),(mm),(N),(mm),(mm),(mm/mm),(MPa)
"0.00000","0.00000","49.28032","-0.02713","-1.05560","-0.00015","16.98270"
"0.10000","0.00019","49.35221","-0.02695","-1.05542","-0.00015","17.00747"
"0.20000","0.00103","49.73973","-0.02616","-1.05463","-0.00014","17.14102"
"0.30000","0.00239","50.30010","-0.02488","-1.05335","-0.00013","17.33413"
"0.40000","0.00448","51.27822","-0.02292","-1.05139","-0.00012","17.67121"
"0.50000","0.00669","52.43414","-0.02087","-1.04934","-0.00011","18.06955"
"0.60000","0.00810","53.03922","-0.01953","-1.04800","-0.00011","18.27807"
"0.70000","0.00969","53.86852","-0.01805","-1.04652","-0.00010","18.56386"
"0.80000","0.01160","54.84486","-0.01628","-1.04475","-0.00009","18.90032"
"0.90000","0.01304","55.46937","-0.01492","-1.04339","-0.00008","19.11553"
"1.00000","0.01460","56.34049","-0.01348","-1.04195","-0.00007","19.41574"
"1.10000","0.01673","57.26744","-0.01147","-1.03994","-0.00006","19.73517"
"1.20000","0.01830","58.08536","-0.01000","-1.03847","-0.00005","20.01704"
"1.30000","0.01971","58.66460","-0.00866","-1.03713","-0.00005","20.21666"
"1.40000","0.02134","59.41297","-0.00712","-1.03559","-0.00004","20.47456"
"1.50000","0.02335","60.30386","-0.00521","-1.03368","-0.00003","20.78157"
"1.60000","0.02472","61.08913","-0.00393","-1.03241","-0.00002","21.05218"
"1.70000","0.02625","61.79161","-0.00249","-1.03096","-0.00001","21.29427"
"1.80000","0.02843","62.79493","-0.00042","-1.02889","0.00000","21.64003"
"1.90000","0.02994","63.41403","0.00101","-1.02746","0.00001","21.85338"
"2.00000","0.03137","64.06375","0.00237","-1.02610","0.00001","22.07728"
"2.10000","0.03307","64.83237","0.00398","-1.02449","0.00002","22.34216"
"2.20000","0.03492","65.71471","0.00572","-1.02275","0.00003","22.64622"
"2.30000","0.03638","66.36208","0.00711","-1.02137","0.00004","22.86932"
"2.40000","0.03793","67.01754","0.00858","-1.01989","0.00005","23.09520"
"2.50000","0.04010","67.97324","0.01064","-1.01783","0.00006","23.42455"
"2.60000","0.04155","68.72455","0.01200","-1.01647","0.00006","23.68346"
"2.70000","0.04299","69.35819","0.01337","-1.01510","0.00007","23.90182"
"2.80000","0.04482","70.17210","0.01510","-1.01337","0.00008","24.18230"
"2.90000","0.04654","70.79318","0.01675","-1.01172","0.00009","24.39634"
"3.00000","0.04800","71.58579","0.01812","-1.01035","0.00010","24.66948"
"3.10000","0.04958","72.23836","0.01962","-1.00885","0.00011","24.89437"
"3.20000","0.05181","73.37347","0.02172","-1.00675","0.00012","25.28554"
"3.30000","0.05323","73.84321","0.02308","-1.00539","0.00012","25.44742"
"3.40000","0.05465","74.55040","0.02442","-1.00405","0.00013","25.69113"
"3.50000","0.05650","75.38760","0.02617","-1.00230","0.00014","25.97964"
"3.60000","0.05822","76.21330","0.02780","-1.00068","0.00015","26.26419"
"3.70000","0.05968","76.69589","0.02920","-0.99928","0.00016","26.43050"
"3.80000","0.06134","77.48752","0.03077","-0.99770","0.00017","26.70330"
"3.90000","0.06351","78.57330","0.03281","-0.99566","0.00018","27.07748"
"4.00000","0.06482","79.11906","0.03405","-0.99442","0.00018","27.26555"
"4.10000","0.06628","79.69543","0.03544","-0.99303","0.00019","27.46418"
"4.20000","0.06828","80.69114","0.03733","-0.99114","0.00020","27.80732"
"4.30000","0.06987","81.35894","0.03885","-0.98963","0.00021","28.03745"
"4.40000","0.07132","82.08387","0.04021","-0.98826","0.00022","28.28727"
"4.50000","0.07302","82.72168","0.04183","-0.98664","0.00023","28.50707"
"4.60000","0.07511","83.80049","0.04380","-0.98467","0.00024","28.87884"
"4.70000","0.07650","84.35252","0.04513","-0.98335","0.00024","29.06908"
"4.80000","0.07800","85.07590","0.04654","-0.98193","0.00025","29.31837"
"4.90000","0.07995","85.97450","0.04838","-0.98009","0.00026","29.62804"
"5.00000","0.08146","86.60269","0.04982","-0.97866","0.00027","29.84452"
"5.10000","0.08299","87.38788","0.05126","-0.97721","0.00028","30.11511"
"5.20000","0.08479","88.16869","0.05298","-0.97549","0.00029","30.38418"
"5.30000","0.08678","89.15900","0.05488","-0.97360","0.00030","30.72546"
"5.40000","0.08813","89.66455","0.05618","-0.97230","0.00030","30.89968"
"5.50000","0.08965","90.39095","0.05763","-0.97084","0.00031","31.15001"
"5.60000","0.09171","91.37478","0.05959","-0.96889","0.00032","31.48905"
"5.70000","0.09311","92.04473","0.06093","-0.96754","0.00033","31.71992"
"5.80000","0.09458","92.73255","0.06233","-0.96614","0.00034","31.95696"
"5.90000","0.09652","93.55613","0.06419","-0.96428","0.00035","32.24077"
"6.00000","0.09840","94.46152","0.06598","-0.96249","0.00036","32.55279"
"6.10000","0.09977","95.14417","0.06728","-0.96119","0.00036","32.78803"
"6.20000","0.10136","95.92767","0.06880","-0.95968","0.00037","33.05804"
"6.30000","0.10334","96.85403","0.07068","-0.95779","0.00038","33.37728"
"6.40000","0.10478","97.41106","0.07207","-0.95641","0.00039","33.56924"
"6.50000","0.10625","98.12067","0.07347","-0.95500","0.00040","33.81378"
"6.60000","0.10826","99.11054","0.07538","-0.95309","0.00041","34.15490"
