"File Number","D0","D1","E","Time_1","Time_0","Dev1/ai0","Dev1/ai1","Force_[N]","Strain_[%]"
0,307.175842285,307.175842285,0,0,0.00399999999999,-0.0187,9.9862,-50.0893,20.0205
1,307.175842285,307.172058105,-1.23192621686e-05,0.708,0.709,-0.0222,9.982,-58.9763,20.0121
2,307.175842285,307.178283691,7.94791139924e-06,0.835,0.835,-0.0267,9.9859,-70.287,20.0199
3,307.175842285,307.158081055,-5.78210529056e-05,1.209,1.209,-0.0258,9.9782,-67.8633,20.0044
4,307.175842285,307.158294678,-5.71256096009e-05,1.333,1.333,-0.0203,9.9785,-54.1289,20.005
5,307.175842285,307.121673584,-0.000176344270585,2.219,2.219,-0.009,9.9598,-25.852,19.9676
6,307.175842285,307.197753906,7.13324989192e-05,3.84,3.84,-0.0203,9.9743,-54.1289,19.9966
7,307.175842285,307.161407471,-4.69920232717e-05,5.267,5.267,-0.0386,9.982,-100.1797,20.0121
8,307.175842285,307.160644531,-4.94757441629e-05,5.576,5.576,-0.0435,9.9769,-112.2983,20.0018
9,307.175842285,307.170776367,-1.6491914721e-05,7.511,7.511,-0.0677,9.9769,-172.8915,20.0018
10,307.175842285,307.201049805,8.20621789899e-05,8.702,8.702,-0.0709,9.9769,-180.9706,20.0018
11,307.175842285,307.205444336,9.63684215094e-05,9.759,9.759,-0.0825,9.974,-210.0553,19.996
12,307.175842285,307.204284668,9.2593159934e-05,9.945,9.945,-0.0728,9.9759,-185.8181,19.9999
13,307.175842285,307.2159729,0.000130643791636,10.444,10.444,-0.0818,9.9882,-208.4395,20.0244
14,307.175842285,307.208648682,0.000106800056528,11.947,11.947,-0.0941,9.9762,-239.1401,20.0005
15,307.175842285,307.222930908,0.000153295331984,12.254,12.254,-0.1008,9.9824,-256.1062,20.0128
16,307.175842285,307.210327148,0.000112264242489,12.939,12.939,-0.1089,9.9707,-276.3039,19.9895
17,307.175842285,307.209747314,0.000110376611701,13.317,13.317,-0.1076,9.9772,-273.0722,20.0025
18,307.175842285,307.226287842,0.000164223703905,14.686,14.686,-0.1286,9.9746,-325.5863,19.9973
19,307.175842285,307.224273682,0.000157666683663,15.436,15.436,-0.1234,9.9853,-312.6598,20.0186
20,307.175842285,307.225891113,0.000162932177773,16.558,16.558,-0.1405,9.9869,-355.479,20.0218
21,307.175842285,307.214996338,0.000127464620164,18.119,18.119,-0.1482,9.9769,-374.8688,20.0018
22,307.175842285,307.244140625,0.000222342816414,19.43,19.43,-0.1682,9.9811,-424.9592,20.0102
23,307.175842285,307.266693115,0.00029576162342,20.429,20.429,-0.1843,9.9811,-465.3546,20.0102
24,307.175842285,307.255523682,0.000259399937931,21.924,21.924,-0.1972,9.9833,-497.671,20.0147
25,307.175842285,307.261505127,0.00027887232136,22.925,22.926,-0.203,9.9749,-512.2134,19.9979
26,307.175842285,307.189910889,4.57998357888e-05,24.548,24.549,-0.2114,9.9917,-533.219,20.0315
27,307.175842285,307.222717285,0.000152599895955,24.857,24.858,-0.2198,9.9775,-554.2247,20.0031
28,307.175842285,307.264984131,0.000290198106086,24.985,24.985,-0.2227,9.9736,-561.4958,19.9953
29,307.175842285,307.286529541,0.000360338424798,25.543,25.544,-0.2275,9.9785,-573.6145,20.005
30,307.175842285,307.195861816,6.51728696539e-05,26.232,26.233,-0.2343,9.9824,-590.5806,20.0128
31,307.175842285,307.248077393,0.000235158819123,27.357,27.357,-0.2446,9.9788,-616.4337,20.0057
32,307.175842285,307.298431396,0.0003990844707,28.915,28.915,-0.2604,9.9827,-656.0212,20.0134
33,307.175842285,307.239074707,0.000205850898055,30.285,30.286,-0.2678,9.9862,-674.6031,20.0205
34,307.175842285,307.270019531,0.000306590663968,31.535,31.535,-0.2681,9.9759,-675.411,19.9999
35,307.175842285,307.209899902,0.000110873355879,32.845,32.845,-0.2858,9.9824,-719.8461,20.0128
36,307.175842285,307.246948242,0.000231482903473,33.533,33.533,-0.2849,9.9762,-717.4223,20.0005
37,307.175842285,307.266845703,0.000296258367598,34.842,34.842,-0.302,9.9882,-760.2415,20.0244
38,307.175842285,307.202880859,8.80231164047e-05,36.341,36.341,-0.3084,9.9824,-776.3997,20.0128
39,307.175842285,307.200531006,8.03732473287e-05,37.337,37.337,-0.3145,9.9814,-791.75,20.0109
40,307.175842285,307.217559814,0.000135809925268,37.904,37.904,-0.3219,9.9778,-810.3319,20.0037
41,307.175842285,307.191070557,4.95750937262e-05,38.212,38.212,-0.3252,9.9859,-818.411,20.0199
42,307.175842285,307.225036621,0.000160150404554,39.584,39.584,-0.3345,9.9701,-841.8404,19.9882
43,307.175842285,307.211883545,0.000117331037472,39.771,39.771,-0.3358,9.974,-845.072,19.996
44,307.175842285,307.200927734,8.16647880129e-05,40.27,40.27,-0.3464,9.974,-871.733,19.996
45,307.175842285,307.160919189,-4.85816053697e-05,41.458,41.458,-0.3429,9.9817,-862.846,20.0115
46,307.175842285,307.176483154,2.08632673093e-06,43.639,43.639,-0.3545,9.9933,-891.9307,20.0348
47,307.175842285,307.135284424,-0.000132034678245,45.077,45.077,-0.3706,9.9762,-932.3262,20.0005
48,307.175842285,307.148925781,-8.76257181517e-05,45.203,45.204,-0.3654,9.9698,-919.3996,19.9876
49,307.175842285,307.163513184,-4.01369507017e-05,45.574,45.574,-0.3683,9.982,-926.6708,20.0121
50,307.175842285,307.188049316,3.97395560867e-05,47.448,47.448,-0.3783,9.9778,-951.716,20.0037
51,307.175842285,307.201263428,8.27576222946e-05,47.57,47.57,-0.378,9.9643,-950.9081,19.9766
52,307.175842285,307.14465332,-0.000101534562418,47.82,47.82,-0.3899,9.9817,-980.8008,20.0115
53,307.175842285,307.181945801,1.98697780434e-05,49.193,49.193,-0.3903,9.9775,-981.6087,20.0031
54,307.175842285,307.206451416,9.96469316306e-05,50.13,50.131,-0.3983,9.9785,-1001.8064,20.005
55,307.175842285,307.167785645,-2.62281064352e-05,52.377,52.378,-0.4106,9.9724,-1032.507,19.9928
56,307.175842285,307.131774902,-0.000143459794344,54.248,54.248,-0.4238,9.9782,-1065.6312,20.0044
57,307.175842285,307.153381348,-7.31207837816e-05,57.494,57.494,-0.4357,9.9775,-1095.5239,20.0031
58,307.175842285,307.132995605,-0.000139485840918,57.993,57.993,-0.4302,9.9756,-1081.7894,19.9992
59,307.175842285,307.104675293,-0.000231681609876,60.241,60.241,-0.4444,9.9904,-1117.3374,20.0289
60,307.175842285,307.076080322,-0.000324771506712,60.614,60.614,-0.4473,9.983,-1124.6086,20.0141
61,307.175842285,307.087097168,-0.000288906565402,60.738,60.738,-0.4444,9.9846,-1117.3374,20.0173
62,307.175842285,307.10256958,-0.000238536682446,60.863,60.863,-0.4538,9.9833,-1140.7668,20.0147
63,307.175842285,307.093109131,-0.000269334821496,61.55,61.55,-0.4528,9.983,-1138.3431,20.0141
64,307.175842285,307.141265869,-0.000112562287541,61.798,61.798,-0.4454,9.9856,-1119.7612,20.0193
65,307.175842285,307.147674561,-9.16990247788e-05,61.924,61.924,-0.4457,9.9759,-1120.5691,19.9999
66,307.175842285,307.124359131,-0.000167601567227,62.298,62.298,-0.4434,9.9762,-1114.9137,20.0005
67,307.175842285,307.08770752,-0.000286919588689,62.61,62.61,-0.448,9.9675,-1126.2244,19.9831
68,307.175842285,307.06539917,-0.000359543628292,63.545,63.545,-0.4573,9.9795,-1149.6538,20.007
69,307.175842285,307.092987061,-0.000269732234301,63.982,63.982,-0.4599,9.9778,-1156.1171,20.0037
70,307.175842285,307.036590576,-0.000453328975709,64.169,64.169,-0.4583,9.9788,-1152.0775,20.0057
71,307.175842285,307.088684082,-0.000283740431769,66.104,66.104,-0.4657,10.0081,-1170.6595,20.0645
72,307.175842285,307.066314697,-0.000356563163223,66.852,66.852,-0.4689,9.9756,-1178.7385,19.9992
73,307.175842285,307.02734375,-0.000483431678731,67.105,67.105,-0.4666,9.9772,-1173.0832,20.0025
74,307.175842285,307.04083252,-0.000439519470092,67.478,67.478,-0.4637,9.9775,-1165.812,20.0031
75,307.175842285,307.068115234,-0.000350701564457,68.039,68.039,-0.4676,9.9756,-1175.5069,19.9992
76,307.175842285,307.014923096,-0.000523866678122,70.661,70.661,-0.4799,9.9798,-1206.2075,20.0076
77,307.175842285,307.001983643,-0.000565990631003,71.095,71.095,-0.4805,9.9743,-1207.8233,19.9966
78,307.175842285,307.019836426,-0.000507871503942,71.22,71.22,-0.4831,9.9827,-1214.2866,20.0134
79,307.175842285,306.957061768,-0.000712232198566,74.216,74.217,-0.4857,9.9785,-1220.7498,20.005
80,307.175842285,306.956115723,-0.000715311965905,75.341,75.342,-0.494,9.9695,-1241.7555,19.987
81,307.175842285,306.894439697,-0.000916096090805,78.521,78.521,-0.4953,9.9795,-1244.9871,20.007
82,307.175842285,306.91519165,-0.000848538824357,78.833,78.833,-0.4963,9.9736,-1247.4108,19.9953
83,307.175842285,306.945465088,-0.000749984756112,80.644,80.644,-0.5047,9.982,-1268.4165,20.0121
84,307.175842285,306.902435303,-0.000890066672582,82.521,82.521,-0.5053,9.9749,-1270.0323,19.9979
85,307.175842285,306.907073975,-0.000874965626281,82.702,82.702,-0.5102,9.9856,-1282.1509,20.0193
86,307.175842285,306.845947266,-0.00107396149542,85.763,85.763,-0.515,9.9791,-1294.2696,20.0063
87,307.175842285,306.831390381,-0.00112135091331,86.575,86.575,-0.5166,9.9775,-1298.3091,20.0031
88,307.175842285,306.796966553,-0.00123341649305,86.946,86.946,-0.5166,9.9795,-1298.3091,20.007
89,307.175842285,306.779632568,-0.00128984660842,91.001,91.001,-0.5295,9.9782,-1330.6255,20.0044
90,307.175842285,306.800354004,-0.00122238870244,91.375,91.375,-0.5224,9.9869,-1312.8515,20.0218
91,307.175842285,306.752502441,-0.00137816776987,92.936,92.936,-0.5266,9.9785,-1323.3543,20.005
92,307.175842285,306.749176025,-0.00138899683952,93.249,93.249,-0.5253,9.9733,-1320.1227,19.9947
93,307.175842285,306.623382568,-0.00179851287976,97.303,97.303,-0.5375,9.983,-1350.8232,20.0141
94,307.175842285,306.665039062,-0.0016629017191,99.612,99.612,-0.5482,9.9798,-1377.4843,20.0076
95,307.175842285,306.635742188,-0.00175827660132,99.8,99.801,-0.5401,9.973,-1357.2865,19.9941
96,307.175842285,306.622131348,-0.00180258625187,100.485,100.485,-0.5411,9.9862,-1359.7102,20.0205
97,307.175842285,306.661956787,-0.00167293590494,100.859,100.859,-0.5366,9.9807,-1348.3995,20.0096
98,307.175842285,306.601409912,-0.00187004415784,101.795,101.795,-0.5421,9.984,-1362.134,20.016
99,307.175842285,306.622833252,-0.00180030113552,102.482,102.482,-0.5421,9.9653,-1362.134,19.9786
100,307.175842285,306.610137939,-0.001841630321,102.67,102.67,-0.5379,9.9795,-1351.6312,20.007
101,307.175842285,306.614715576,-0.00182672799565,102.857,102.857,-0.5385,9.9846,-1353.247,20.0173
102,307.175842285,306.565979004,-0.00198538810946,104.665,104.666,-0.5404,9.9753,-1358.0944,19.9986
103,307.175842285,306.546661377,-0.00204827589914,104.79,104.79,-0.545,9.9759,-1369.4052,19.9999
104,307.175842285,306.554840088,-0.00202165055089,104.916,104.917,-0.5437,9.9759,-1366.1735,19.9999
105,307.175842285,306.594818115,-0.00189150345977,105.165,105.166,-0.5453,9.9785,-1370.2131,20.005
106,307.175842285,306.466827393,-0.00230817263946,109.289,109.289,-0.5443,9.9814,-1367.7893,20.0109
107,307.175842285,306.474456787,-0.00228333543055,109.409,109.41,-0.5417,9.9778,-1361.3261,20.0037
108,307.175842285,306.424133301,-0.00244716182351,110.035,110.035,-0.5475,9.9659,-1375.8684,19.9798
109,307.175842285,306.443969727,-0.00238258508034,111.843,111.843,-0.5598,9.9736,-1406.569,19.9953
110,307.175842285,306.371063232,-0.00261992961168,114.278,114.278,-0.5514,9.9785,-1385.5633,20.005
111,307.175842285,306.351287842,-0.00268430751748,114.776,114.776,-0.5479,9.9765,-1376.6763,20.0012
112,307.175842285,306.329040527,-0.00275673298165,118.394,118.394,-0.5569,9.9904,-1399.2978,20.0289
113,307.175842285,306.360229492,-0.00265519833192,118.645,118.645,-0.5572,9.9798,-1400.1057,20.0076
114,307.175842285,306.260894775,-0.00297857890837,119.955,119.955,-0.5537,9.9814,-1391.2187,20.0109
115,307.175842285,306.264831543,-0.00296576297842,120.083,120.083,-0.5653,9.9743,-1420.3035,19.9966
116,307.175842285,306.264160156,-0.00296794855967,124.074,124.075,-0.5624,9.9907,-1413.0323,20.0296
117,307.175842285,306.205932617,-0.00315750623122,124.511,124.511,-0.5579,9.9795,-1401.7215,20.007
118,307.175842285,306.174407959,-0.00326013378799,126.819,126.819,-0.5656,9.9785,-1421.1114,20.005
119,307.175842285,306.120574951,-0.00343538518064,130.876,130.876,-0.5637,9.9778,-1416.2639,20.0037
120,307.175842285,306.109680176,-0.00347085273825,131.313,131.313,-0.5601,9.9778,-1407.3769,20.0037
121,307.175842285,306.079315186,-0.00356970494613,131.685,131.685,-0.5656,9.9788,-1421.1114,20.0057
122,307.175842285,306.086547852,-0.0035461592488,132.374,132.374,-0.5656,9.972,-1421.1114,19.9921
123,307.175842285,306.101959229,-0.00349598797038,132.495,132.495,-0.5591,9.9695,-1404.9532,19.987
124,307.175842285,306.071014404,-0.00359672773629,132.746,132.746,-0.5575,9.9762,-1400.9136,20.0005
125,307.175842285,306.029754639,-0.00373104750179,134.869,134.869,-0.572,9.9753,-1437.2695,19.9986
126,307.175842285,306.035461426,-0.00371246924624,135.057,135.057,-0.5595,9.9707,-1405.7611,19.9895
127,307.175842285,306.02456665,-0.00374793680385,137.24,137.24,-0.5782,9.982,-1452.6198,20.0121
128,307.175842285,305.932739258,-0.00404687738046,138.491,138.491,-0.562,9.9807,-1412.2244,20.0096
129,307.175842285,305.911743164,-0.00411522947252,142.605,142.605,-0.5785,9.9785,-1453.4277,20.005
130,307.175842285,305.902313232,-0.00414592819288,142.917,142.917,-0.5736,9.9788,-1441.3091,20.0057
131,307.175842285,305.970031738,-0.00392547342926,143.166,143.166,-0.5669,9.9765,-1424.343,20.0012
132,307.175842285,305.770019531,-0.00457660574466,145.851,145.851,-0.582,9.9804,-1462.3147,20.0089
133,307.175842285,305.750213623,-0.00464108306915,149.968,149.969,-0.5569,9.9695,-1399.2978,19.987
134,307.175842285,305.675964355,-0.00488279899582,152.652,152.652,-0.5698,9.9714,-1431.6142,19.9908
135,307.175842285,305.610046387,-0.00509739248082,156.77,156.77,-0.5714,9.9714,-1435.6537,19.9908
136,307.175842285,305.563476562,-0.00524899922311,157.332,157.332,-0.5727,9.9672,-1438.8854,19.9824
137,307.175842285,305.578033447,-0.00520160980523,157.583,157.583,-0.5778,9.9801,-1451.8119,20.0083
138,307.175842285,305.569458008,-0.00522952666506,158.455,158.455,-0.5762,9.9807,-1447.7724,20.0096
139,307.175842285,305.513793945,-0.00541073922068,159.89,159.89,-0.5717,9.9717,-1436.4616,19.9915
140,307.175842285,305.45300293,-0.00560864200816,163.011,163.011,-0.563,9.9865,-1414.6481,20.0212
141,307.175842285,305.43951416,-0.00565255433321,165.694,165.694,-0.573,9.9743,-1439.6933,19.9966
142,307.175842285,305.332275391,-0.00600166618824,166.192,166.192,-0.5746,9.9817,-1443.7328,20.0115
143,307.175842285,305.373291016,-0.00586814153939,166.379,166.379,-0.5782,9.9769,-1452.6198,20.0018
144,307.175842285,305.356567383,-0.00592258479446,168.315,168.315,-0.5749,9.9817,-1444.5407,20.0115
145,307.175842285,305.215301514,-0.00638247048482,171.75,171.75,-0.5701,9.9824,-1432.4221,20.0128
146,307.175842285,305.119750977,-0.00669353175908,175.863,175.863,-0.574,9.984,-1442.117,20.016
147,307.175842285,305.079101562,-0.00682586478069,176.3,176.301,-0.5701,9.9811,-1432.4221,20.0102
148,307.175842285,305.001403809,-0.00707880686969,178.548,178.549,-0.574,9.9736,-1442.117,19.9953
149,307.175842285,305.001342773,-0.00707900570706,178.735,178.736,-0.5714,9.9795,-1435.6537,20.007
