"File Number","D0","D1","E","Time_1","Time_0","Dev1/ai0","Dev1/ai1","Force_[N]","Strain_[%]"
0,330.552581787,330.552581787,0,0,0.004,-0.0196,9.9743,-52.513,19.9966
1,330.552581787,330.582580566,9.07534267753e-05,0.661,0.661,-0.0119,9.9724,-33.1232,19.9928
2,330.552581787,330.535919189,-5.04083109263e-05,0.849,0.849,-0.019,9.9914,-50.8972,20.0309
3,330.552581787,330.54989624,-8.12441612652e-06,1.724,1.724,-0.0148,9.9772,-40.3944,20.0025
4,330.552581787,330.537506104,-4.56075213151e-05,3.158,3.158,-0.0274,9.9788,-71.9029,20.0057
5,330.552581787,330.526153564,-7.99516419647e-05,4.907,4.907,-0.0377,9.9843,-97.756,20.0167
6,330.552581787,330.542694092,-2.99126240861e-05,5.715,5.715,-0.0406,9.9807,-105.0271,20.0096
7,330.552581787,330.550506592,-6.27795816399e-06,6.029,6.029,-0.0531,9.9791,-136.5356,20.0063
8,330.552581787,330.497253418,-0.000167381440406,6.276,6.277,-0.0519,9.9769,-133.304,20.0018
9,330.552581787,330.573394775,6.29642308922e-05,6.901,6.901,-0.0528,9.9711,-135.7277,19.9902
10,330.552581787,330.559356689,2.04956868401e-05,8.587,8.587,-0.0754,9.984,-192.2813,20.016
11,330.552581787,330.515319824,-0.000112726280349,9.468,9.468,-0.076,9.9788,-193.8971,20.0057
12,330.552581787,330.527740479,-7.51508559915e-05,10.02,10.021,-0.0867,9.9795,-220.5582,20.007
13,330.552581787,330.533355713,-5.81634376431e-05,10.208,10.208,-0.0992,9.9804,-252.0666,20.0089
14,330.552581787,330.52041626,-9.73083515419e-05,10.895,10.895,-0.0963,9.9749,-244.7954,19.9979
15,330.552581787,330.529724121,-6.91498644301e-05,11.208,11.208,-0.0983,9.9714,-249.6429,19.9908
16,330.552581787,330.523803711,-8.70605072123e-05,11.333,11.333,-0.1008,9.9746,-256.1062,19.9973
17,330.552581787,330.50100708,-0.00015602572239,12.018,12.018,-0.1112,9.9743,-281.9593,19.9966
18,330.552581787,330.506530762,-0.00013931527792,13.453,13.453,-0.1253,9.9811,-317.5073,20.0102
19,330.552581787,330.49331665,-0.000179291106178,14.701,14.701,-0.1302,9.9724,-329.6259,19.9928
20,330.552581787,330.543731689,-2.67736450041e-05,15.144,15.145,-0.1353,9.974,-342.5524,19.996
21,330.552581787,330.417572021,-0.000408436579164,15.388,15.388,-0.1447,9.9765,-365.9818,20.0012
22,330.552581787,330.420074463,-0.000400866090786,15.575,15.575,-0.1437,9.9862,-363.5581,20.0205
23,330.552581787,330.423309326,-0.000391079869587,17.011,17.011,-0.1553,9.974,-392.6428,19.996
24,330.552581787,330.443511963,-0.000329962087562,17.698,17.698,-0.1666,9.9859,-420.9196,20.0199
25,330.552581787,330.457550049,-0.000287493545329,19.755,19.755,-0.1885,9.9817,-475.8575,20.0115
26,330.552581787,330.4972229,-0.000167473772308,20.131,20.131,-0.1853,9.9788,-467.7784,20.0057
27,330.552581787,330.389923096,-0.00049208116252,21.132,21.132,-0.1962,9.9659,-495.2473,19.9798
28,330.552581787,330.392150879,-0.000485341559397,21.502,21.503,-0.1988,9.9672,-501.7106,19.9824
29,330.552581787,330.381774902,-0.000516731350217,21.631,21.631,-0.2004,9.9749,-505.7501,19.9979
30,330.552581787,330.394927979,-0.000476940185763,21.939,21.939,-0.2037,9.9991,-513.8292,20.0464
31,330.552581787,330.364837646,-0.000567970564589,23.562,23.563,-0.223,9.9814,-562.3037,20.0109
32,330.552581787,330.404541016,-0.000447858474217,23.75,23.75,-0.2269,9.9782,-571.9987,20.0044
33,330.552581787,330.411682129,-0.000426254904596,24.687,24.688,-0.2385,9.9804,-601.0834,20.0089
34,330.552581787,330.360473633,-0.000581172760576,25.688,25.689,-0.2311,9.9775,-582.5015,20.0031
35,330.552581787,330.338562012,-0.000647460634355,26.994,26.994,-0.2475,9.964,-623.7049,19.976
36,330.552581787,330.311096191,-0.000730551255401,27.309,27.309,-0.2446,9.9727,-616.4337,19.9934
37,330.552581787,330.337463379,-0.000650784233585,28.806,28.806,-0.2671,9.9917,-672.9873,20.0315
38,330.552581787,330.303527832,-0.000753447297029,30.054,30.054,-0.2733,9.973,-688.3376,19.9941
39,330.552581787,330.306274414,-0.000745138269849,31.987,31.987,-0.2875,9.9785,-723.8856,20.005
40,330.552581787,330.265014648,-0.00086995883612,33.546,33.546,-0.2994,9.9707,-753.7782,19.9895
41,330.552581787,330.16619873,-0.00116890040226,35.607,35.607,-0.3187,9.9798,-802.2528,20.0076
42,330.552581787,330.238677979,-0.000949633482378,36.105,36.105,-0.3216,9.9759,-809.524,19.9999
43,330.552581787,330.255737305,-0.000898024998605,36.416,36.416,-0.3184,9.9798,-801.4449,20.0076
44,330.552581787,330.205627441,-0.00104961928446,37.166,37.166,-0.329,9.9904,-828.1059,20.0289
45,330.552581787,330.169555664,-0.00115874491166,38.665,38.665,-0.3368,9.9901,-847.4957,20.0283
46,330.552581787,330.162506104,-0.00118007150013,39.849,39.849,-0.3435,9.9749,-864.4618,19.9979
47,330.552581787,330.17868042,-0.00113114039414,39.974,39.974,-0.3419,9.9743,-860.4223,19.9966
