Specimen properties : Specimen label,"2C"
Test : Rate 1,"1.00000",mm/min
Specimen properties : Thickness,"7.83000",mm
Specimen properties : Width,"8.99000",mm
Specimen properties : Support span,"32.00000",mm
Specimen properties : Fixture type,3-point
Specimen notes : Specimen note 1,""
General : End date,"Thursday, March 27, 2025 9:10:39 PM"

Time,Extension,Load,Flexure strain (Extension),Flexure stress,Flexure extension
(s),(mm),(N),(mm/mm),(MPa),(mm)
"0.00000","0.00006","42.70700","0.00000","3.71926","0.00000"
"0.10000","0.00048","43.19762","0.00002","3.76199","0.00042"
"0.20000","0.00107","44.07243","0.00005","3.83818","0.00101"
"0.30000","0.00297","46.78051","0.00013","4.07402","0.00291"
"0.40000","0.00542","50.65868","0.00025","4.41176","0.00536"
"0.50000","0.00675","52.59277","0.00031","4.58020","0.00669"
"0.60000","0.00850","55.24474","0.00039","4.81115","0.00844"
"0.70000","0.01049","58.15967","0.00048","5.06501","0.01043"
"0.80000","0.01185","59.92242","0.00054","5.21852","0.01179"
"0.90000","0.01340","62.27584","0.00061","5.42347","0.01334"
"1.00000","0.01556","65.36269","0.00071","5.69230","0.01550"
"1.10000","0.01700","67.24379","0.00078","5.85612","0.01694"
"1.20000","0.01840","69.17708","0.00084","6.02449","0.01833"
"1.30000","0.02025","71.83151","0.00093","6.25566","0.02019"
"1.40000","0.02211","74.43177","0.00101","6.48211","0.02205"
"1.50000","0.02349","76.13918","0.00108","6.63080","0.02343"
"1.60000","0.02507","78.45644","0.00115","6.83261","0.02501"
"1.70000","0.02730","81.54642","0.00125","7.10171","0.02723"
"1.80000","0.02864","83.20564","0.00131","7.24621","0.02857"
"1.90000","0.03005","84.91695","0.00138","7.39524","0.02998"
"2.00000","0.03195","87.60476","0.00146","7.62932","0.03189"
"2.10000","0.03373","89.88625","0.00154","7.82801","0.03367"
"2.20000","0.03515","91.59159","0.00161","7.97652","0.03509"
"2.30000","0.03676","93.65530","0.00168","8.15625","0.03670"
"2.40000","0.03897","96.59157","0.00178","8.41196","0.03890"
"2.50000","0.04028","97.78134","0.00185","8.51558","0.04022"
