"File Number","D0","D1","E","Time_1","Time_0","Dev1/ai0","Dev1/ai1","Force_[N]","Strain_[%]"
0,311.207336426,311.207336426,0,0,0.003,-0.0277,9.974,-23.2512,9.9965
1,311.207336426,311.149475098,-0.000185925338883,3.793,3.793,-0.0361,9.9791,-31.6476,10.0017
2,311.207336426,311.159057617,-0.000155133908265,4.295,4.295,-0.0412,9.9749,-36.8146,9.9975
3,311.207336426,311.143035889,-0.000206616387004,5.104,5.105,-0.058,9.9788,-53.6074,10.0014
4,311.207336426,311.193603516,-4.41278498329e-05,5.355,5.355,-0.0619,9.983,-57.4826,10.0056
5,311.207336426,311.21572876,2.69670181297e-05,6.668,6.668,-0.0831,9.9765,-78.7965,9.9991
6,311.207336426,311.189239502,-5.81506974413e-05,7.662,7.662,-0.0989,9.9778,-94.6205,10.0004
7,311.207336426,311.159515381,-0.00015366297157,8.226,8.226,-0.107,9.9782,-102.6939,10.0007
8,311.207336426,311.246856689,0.000126990140416,9.534,9.534,-0.1292,9.9769,-124.9767,9.9994
9,311.207336426,311.259094238,0.000166312951478,10.345,10.345,-0.1447,9.9743,-140.4777,9.9969
10,311.207336426,311.222381592,4.83445110149e-05,11.221,11.222,-0.1605,9.9801,-156.3017,10.0027
11,311.207336426,311.196563721,-3.46158449247e-05,12.156,12.156,-0.1763,9.9765,-172.1256,9.9991
12,311.207336426,311.233764648,8.49215939525e-05,12.968,12.968,-0.1888,9.9785,-184.7202,10.0011
13,311.207336426,311.189239502,-5.81506974413e-05,13.906,13.906,-0.2085,9.9804,-204.4194,10.003
14,311.207336426,311.191589355,-5.0599934184e-05,14.528,14.528,-0.2182,9.9759,-214.1076,9.9985
15,311.207336426,311.219085693,3.77538272005e-05,15.4,15.4,-0.2352,9.9824,-231.2233,10.0049
16,311.207336426,311.169158936,-0.000122675424791,16.21,16.21,-0.2507,9.9762,-246.7243,9.9988
17,311.207336426,311.194610596,-4.08918058383e-05,17.023,17.024,-0.2642,9.9795,-260.2877,10.002
18,311.207336426,311.147003174,-0.000193868341739,17.834,17.835,-0.2823,9.9753,-278.3723,9.9978
19,311.207336426,311.16986084,-0.000120419994346,18.644,18.644,-0.2981,9.9775,-294.1962,10.0001
20,311.207336426,311.125701904,-0.000262315530563,19.269,19.269,-0.3023,9.9772,-298.3944,9.9998
21,311.207336426,311.135070801,-0.00023221054289,19.956,19.956,-0.3261,9.9791,-322.2918,10.0017
22,311.207336426,311.109069824,-0.00031575927278,20.33,20.331,-0.331,9.9798,-327.1359,10.0023
23,311.207336426,311.130462646,-0.000247017887887,21.33,21.33,-0.3538,9.9733,-350.0645,9.9959
24,311.207336426,311.085754395,-0.000390678556869,22.139,22.139,-0.3719,9.9817,-368.1491,10.0043
25,311.207336426,311.107696533,-0.000320172053762,22.701,22.701,-0.3828,9.9762,-379.129,9.9988
26,311.207336426,311.108428955,-0.000317818572512,23.512,23.512,-0.399,9.9762,-395.2759,9.9988
27,311.207336426,311.074127197,-0.000428040133556,24.138,24.138,-0.4112,9.9733,-407.5475,9.9959
28,311.207336426,311.06741333,-0.000449613755336,24.825,24.825,-0.4309,9.9769,-427.2467,9.9994
29,311.207336426,311.104797363,-0.000329487927957,25.573,25.574,-0.4463,9.9743,-442.7478,9.9969
30,311.207336426,311.085754395,-0.000390678556869,26.32,26.32,-0.4618,9.9756,-458.2488,9.9981
31,311.207336426,311.044006348,-0.000524827220943,26.756,26.756,-0.4731,9.9756,-469.5516,9.9981
32,311.207336426,311.070281982,-0.000440395931946,27.692,27.692,-0.4924,9.9775,-488.9279,10.0001
33,311.207336426,311.048065186,-0.000511784979608,28.318,28.318,-0.5027,9.9759,-499.2619,9.9985
34,311.207336426,311.037445068,-0.000545910501387,29.003,29.003,-0.5176,9.972,-514.1171,9.9946
35,311.207336426,311.050567627,-0.000503743882291,29.752,29.752,-0.5353,9.9804,-531.8787,10.003
36,311.207336426,311.056427002,-0.000484916032292,30.5,30.5,-0.552,9.972,-548.6715,9.9946
37,311.207336426,311.020965576,-0.000598863931373,31.25,31.25,-0.5662,9.9782,-562.8808,10.0007
38,311.207336426,311.04019165,-0.000537084939424,32.06,32.06,-0.5852,9.9804,-581.9341,10.003
39,311.207336426,311.056243896,-0.000485504395328,32.627,32.627,-0.5927,9.9753,-589.3617,9.9978
40,311.207336426,311.068511963,-0.000446083518909,33.309,33.309,-0.6107,9.9782,-607.4462,10.0007
41,311.207336426,311.030975342,-0.000566699658521,34.059,34.059,-0.6265,9.9846,-623.2702,10.0072
42,311.207336426,311.064666748,-0.000458439317299,34.806,34.806,-0.6404,9.9772,-637.1565,9.9998
