"File Number","D0","D1","E","Time_1","Time_0","Dev1/ai0","Dev1/ai1","Force_[N]","Strain_[%]"
0,373.357727051,373.357727051,0,0,0.00400000000002,-0.0203,9.9782,-54.1289,20.0044
1,373.357727051,373.409881592,0.00013969054271,3.789,3.789,-0.0361,9.9727,-93.7164,19.9934
2,373.357727051,373.398193359,0.000108384818304,4.413,4.413,-0.0354,9.9849,-92.1006,20.018
3,373.357727051,373.47442627,0.000312566757202,6.221,6.221,-0.0483,9.9817,-124.417,20.0115
4,373.357727051,373.401550293,0.000117376017442,8.718,8.718,-0.0619,9.9859,-158.3491,20.0199
5,373.357727051,373.42678833,0.000184973483556,9.467,9.467,-0.0651,9.9727,-166.4282,19.9934
6,373.357727051,373.495300293,0.000368475681171,11.276,11.276,-0.1008,9.9753,-256.1062,19.9986
7,373.357727051,373.564056396,0.0005526317982,12.835,12.837,-0.0999,9.9833,-253.6824,20.0147
8,373.357727051,373.526000977,0.000450704275863,15.459,15.459,-0.1199,9.9846,-303.7728,20.0173
9,373.357727051,373.547210693,0.000507512304466,16.019,16.019,-0.1289,9.9733,-326.3943,19.9947
10,373.357727051,373.57623291,0.000585245317779,18.326,18.326,-0.1473,9.9833,-372.4451,20.0147
11,373.357727051,373.574371338,0.000580259307753,20.574,20.575,-0.1608,9.9811,-406.3773,20.0102
12,373.357727051,373.598022461,0.000643606355879,21.76,21.761,-0.174,9.984,-439.5015,20.016
13,373.357727051,373.598022461,0.000643606355879,24.07,24.07,-0.2033,9.9811,-513.0213,20.0102
14,373.357727051,373.604675293,0.000661425292492,25.629,25.629,-0.2072,9.9753,-522.7162,19.9986
15,373.357727051,373.643127441,0.000764415366575,27.812,27.812,-0.2314,9.9859,-583.3094,20.0199
16,373.357727051,373.572174072,0.000574374163989,29.059,29.059,-0.2385,9.9811,-601.0834,20.0102
17,373.357727051,373.641784668,0.00076081888983,31.306,31.306,-0.2584,9.9814,-651.1738,20.0109
18,373.357727051,373.661193848,0.000812804384623,33.489,33.489,-0.281,9.9872,-707.7274,20.0225
19,373.357727051,373.652984619,0.000790816789959,35.678,35.678,-0.3007,9.9856,-757.0099,20.0193
20,373.357727051,373.603942871,0.000659463577904,36.734,36.734,-0.3032,9.9788,-763.4732,20.0057
