"File Number","D0","D1","E","Time_1","Time_0","Dev1/ai0","Dev1/ai1","Force_[N]","Strain_[%]"
0,350.237060547,350.237060547,0,0,0.00400000000002,-0.0203,9.9782,-54.1289,20.0044
1,350.237060547,350.235870361,-3.39822850037e-06,3.789,3.789,-0.0361,9.9727,-93.7164,19.9934
2,350.237060547,350.205566406,-8.99223523447e-05,4.413,4.413,-0.0354,9.9849,-92.1006,20.018
3,350.237060547,350.218048096,-5.42845227756e-05,6.221,6.221,-0.0483,9.9817,-124.417,20.0115
4,350.237060547,350.124389648,-0.000321698957123,8.718,8.718,-0.0619,9.9859,-158.3491,20.0199
5,350.237060547,350.082824707,-0.000440375559265,9.467,9.467,-0.0651,9.9727,-166.4282,19.9934
6,350.237060547,350.09173584,-0.000414932408603,11.276,11.276,-0.1008,9.9753,-256.1062,19.9986
7,350.237060547,350.05871582,-0.000509211444296,12.835,12.837,-0.0999,9.9833,-253.6824,20.0147
8,350.237060547,349.978088379,-0.000739419658203,15.459,15.459,-0.1199,9.9846,-303.7728,20.0173
9,350.237060547,349.954711914,-0.000806164345704,16.019,16.019,-0.1289,9.9733,-326.3943,19.9947
10,350.237060547,349.967193604,-0.000770526530687,18.326,18.326,-0.1473,9.9833,-372.4451,20.0147
11,350.237060547,349.939666748,-0.000849121424835,20.574,20.575,-0.1608,9.9811,-406.3773,20.0102
12,350.237060547,349.901092529,-0.00095925887581,21.76,21.761,-0.174,9.984,-439.5015,20.016
13,350.237060547,349.882019043,-0.00101371773053,24.07,24.07,-0.2033,9.9811,-513.0213,20.0102
14,350.237060547,349.852661133,-0.00109754060395,25.629,25.629,-0.2072,9.9753,-522.7162,19.9986
15,350.237060547,349.808166504,-0.00122458208352,27.812,27.812,-0.2314,9.9859,-583.3094,20.0199
16,350.237060547,349.76473999,-0.00134857394733,29.059,29.059,-0.2385,9.9811,-601.0834,20.0102
17,350.237060547,349.742279053,-0.00141270458698,31.306,31.306,-0.2584,9.9814,-651.1738,20.0109
18,350.237060547,349.655090332,-0.0016616465291,33.489,33.489,-0.281,9.9872,-707.7274,20.0225
19,350.237060547,349.646392822,-0.00168647977989,35.678,35.678,-0.3007,9.9856,-757.0099,20.0193
20,350.237060547,349.537750244,-0.00199667713605,36.734,36.734,-0.3032,9.9788,-763.4732,20.0057
21,350.237060547,349.653289795,-0.00166678754613,36.862,36.862,-0.2991,9.973,-752.9703,19.9941
22,350.237060547,349.535217285,-0.00200390908867,37.299,37.299,-0.3103,9.9724,-781.2472,19.9928
23,350.237060547,349.553466797,-0.00195180298761,38.544,38.544,-0.32,9.9798,-805.4844,20.0076
24,350.237060547,349.48260498,-0.00215412839316,41.291,41.291,-0.3545,9.9875,-891.9307,20.0231
25,350.237060547,349.467071533,-0.00219847960398,43.225,43.225,-0.3571,9.9833,-898.394,20.0147
26,350.237060547,349.420593262,-0.00233118468896,44.846,44.846,-0.3709,9.9733,-933.1341,19.9947
27,350.237060547,349.323913574,-0.00260722544044,47.155,47.156,-0.387,9.9695,-973.5296,19.987
28,350.237060547,349.290771484,-0.0027018529363,47.845,47.845,-0.3925,9.9843,-987.264,20.0167
29,350.237060547,349.255157471,-0.00280353846028,49.155,49.155,-0.3912,9.973,-984.0324,19.9941
30,350.237060547,349.169311523,-0.00304864649661,51.336,51.336,-0.4199,9.9733,-1055.9363,19.9947
31,350.237060547,349.100311279,-0.0032456566114,53.146,53.146,-0.4344,9.9772,-1092.2922,20.0025
32,350.237060547,348.99899292,-0.00353494170122,55.581,55.581,-0.4525,9.9772,-1137.5352,20.0025
33,350.237060547,348.915466309,-0.00377342780121,58.137,58.137,-0.4683,9.9727,-1177.1227,19.9934
34,350.237060547,348.934783936,-0.00371827185154,58.512,58.512,-0.4679,9.9743,-1176.3148,19.9966
35,350.237060547,348.850006104,-0.00396033050492,58.7,58.7,-0.4715,9.9849,-1185.2018,20.018
36,350.237060547,348.764343262,-0.00420491583645,60.883,60.883,-0.476,9.9669,-1196.5125,19.9818
37,350.237060547,348.697601318,-0.0043954779394,61.881,61.881,-0.4869,9.9775,-1223.9815,20.0031
38,350.237060547,348.731964111,-0.00429736496881,62.132,62.133,-0.4873,9.9811,-1224.7894,20.0102
39,350.237060547,348.707000732,-0.00436864048243,62.693,62.693,-0.4973,9.9653,-1249.8346,19.9786
40,350.237060547,348.601257324,-0.00467055989429,64.881,64.882,-0.504,9.974,-1266.8007,19.996
41,350.237060547,348.574981689,-0.00474558258429,65.815,65.815,-0.5102,9.9843,-1282.1509,20.0167
42,350.237060547,348.562042236,-0.0047825272195,65.999,66,-0.5147,9.9833,-1293.4617,20.0147
43,350.237060547,348.477752686,-0.00502319168299,68.183,68.184,-0.5285,9.984,-1328.2018,20.016
44,350.237060547,348.421508789,-0.00518377963454,69.748,69.748,-0.5363,9.9846,-1347.5916,20.0173
45,350.237060547,348.386260986,-0.00528441974893,70.243,70.243,-0.5446,9.9888,-1368.5972,20.0257
46,350.237060547,348.363250732,-0.00535011850297,71.616,71.616,-0.5437,9.9791,-1366.1735,20.0063
47,350.237060547,348.22567749,-0.00574291916564,73.864,73.864,-0.5617,9.9814,-1411.4164,20.0109
48,350.237060547,348.000030518,-0.00638718809932,76.358,76.358,-0.574,9.9849,-1442.117,20.018
