Specimen properties : Specimen label,"4A"
Test : Rate 1,"1.00000",mm/min
Specimen properties : Thickness,"8.42000",mm
Specimen properties : Width,"9.93000",mm
Specimen properties : Support span,"32.00000",mm
Specimen properties : Fixture type,3-point
Specimen notes : Specimen note 1,""
General : End date,"Thursday, March 27, 2025 8:25:52 PM"

Time,Extension,Load,Flexure strain (Extension),Flexure stress,Flexure extension
(s),(mm),(N),(mm/mm),(MPa),(mm)
"0.00000","0.00015","43.43954","0.00000","2.96178","0.00000"
"0.10000","0.00062","43.99837","0.00002","2.99988","0.00047"
"0.20000","0.00123","44.78473","0.00005","3.05350","0.00108"
"0.30000","0.00334","47.81291","0.00016","3.25997","0.00319"
"0.40000","0.00579","51.31374","0.00028","3.49866","0.00563"
"0.50000","0.00711","52.99862","0.00034","3.61354","0.00696"
"0.60000","0.00875","55.30478","0.00042","3.77077","0.00860"
"0.70000","0.01083","58.17466","0.00053","3.96645","0.01068"
"0.80000","0.01216","59.94408","0.00059","4.08709","0.01201"
"0.90000","0.01369","61.95495","0.00067","4.22419","0.01354"
"1.00000","0.01572","64.75848","0.00077","4.41534","0.01557"
"1.10000","0.01740","66.93468","0.00085","4.56372","0.01725"
"1.20000","0.01876","68.58416","0.00092","4.67618","0.01861"
"1.30000","0.02045","70.76050","0.00100","4.82457","0.02030"
"1.40000","0.02250","73.57654","0.00110","5.01657","0.02235"
"1.50000","0.02381","75.06849","0.00117","5.11830","0.02366"
"1.60000","0.02534","77.09823","0.00124","5.25669","0.02519"
"1.70000","0.02747","79.97903","0.00135","5.45311","0.02732"
"1.80000","0.02901","81.96935","0.00142","5.58881","0.02886"
"1.90000","0.03040","83.67138","0.00149","5.70486","0.03025"
"2.00000","0.03220","85.97913","0.00158","5.86220","0.03204"
"2.10000","0.03408","88.41159","0.00167","6.02805","0.03393"
"2.20000","0.03544","90.08537","0.00174","6.14217","0.03529"
"2.30000","0.03701","92.20814","0.00182","6.28691","0.03686"
"2.40000","0.03924","95.32113","0.00193","6.49916","0.03909"
"2.50000","0.04070","96.90239","0.00200","6.60697","0.04055"
"2.60000","0.04204","98.51170","0.00207","6.71669","0.04189"
"2.70000","0.04388","101.03582","0.00216","6.88879","0.04373"
"2.80000","0.04577","103.38029","0.00225","7.04864","0.04562"
"2.90000","0.04712","104.86584","0.00232","7.14993","0.04697"
"3.00000","0.04874","106.89115","0.00240","7.28802","0.04859"
"3.10000","0.05088","109.61762","0.00250","7.47392","0.05073"
"3.20000","0.05228","111.19994","0.00257","7.58180","0.05213"
"3.30000","0.05369","112.60685","0.00264","7.67773","0.05354"
"3.40000","0.05562","114.90217","0.00274","7.83422","0.05547"
"3.50000","0.05737","116.95436","0.00282","7.97415","0.05722"
"3.60000","0.05876","118.35154","0.00289","8.06941","0.05861"
"3.70000","0.06039","120.04070","0.00297","8.18458","0.06023"
"3.80000","0.06258","122.70367","0.00308","8.36614","0.06243"
"3.90000","0.06391","123.77168","0.00315","8.43896","0.06376"
"4.00000","0.06534","125.26236","0.00322","8.54060","0.06519"
"4.10000","0.06730","127.50694","0.00331","8.69364","0.06715"
"4.20000","0.06897","129.19896","0.00340","8.80900","0.06882"
"4.30000","0.07043","130.48201","0.00347","8.89649","0.07028"
"4.40000","0.07208","132.34352","0.00355","9.02341","0.07193"
"4.50000","0.07425","134.78813","0.00366","9.19008","0.07410"
"4.60000","0.07556","135.74957","0.00372","9.25564","0.07540"
"4.70000","0.07704","137.19691","0.00379","9.35432","0.07689"
"4.80000","0.07900","139.38022","0.00389","9.50318","0.07884"
"4.90000","0.08058","140.76311","0.00397","9.59747","0.08043"
"5.00000","0.08208","142.13617","0.00404","9.69108","0.08192"
"5.10000","0.08388","144.15369","0.00413","9.82864","0.08372"
"5.20000","0.08588","146.21744","0.00423","9.96935","0.08573"
"5.30000","0.08718","147.22838","0.00429","10.03828","0.08703"
"5.40000","0.08872","148.57253","0.00437","10.12993","0.08857"
"5.50000","0.09072","150.99048","0.00447","10.29479","0.09057"
"5.60000","0.09227","152.41507","0.00454","10.39192","0.09212"
"5.70000","0.09374","153.71194","0.00462","10.48034","0.09359"
"5.80000","0.09559","155.85921","0.00471","10.62675","0.09544"
"5.90000","0.09746","157.78673","0.00480","10.75817","0.09731"
"6.00000","0.09887","158.90189","0.00487","10.83420","0.09872"
"6.10000","0.10043","160.55205","0.00495","10.94671","0.10028"
"6.20000","0.10242","162.87350","0.00505","11.10499","0.10227"
"6.30000","0.10386","164.15459","0.00512","11.19234","0.10371"
"6.40000","0.10538","165.61736","0.00519","11.29207","0.10523"
"6.50000","0.10736","167.99754","0.00529","11.45436","0.10721"
"6.60000","0.10912","169.84671","0.00538","11.58044","0.10897"
"6.70000","0.11050","170.94693","0.00544","11.65545","0.11035"
"6.80000","0.11210","172.66144","0.00552","11.77235","0.11195"
"6.90000","0.11407","174.98703","0.00562","11.93091","0.11391"
"7.00000","0.11552","176.34920","0.00569","12.02379","0.11537"
"7.10000","0.11701","178.00189","0.00577","12.13647","0.11686"
"7.20000","0.11909","180.60852","0.00587","12.31420","0.11894"
"7.30000","0.12076","182.18408","0.00595","12.42162","0.12061"
"7.40000","0.12215","183.46028","0.00602","12.50863","0.12200"
"7.50000","0.12378","185.17969","0.00610","12.62586","0.12363"
"7.60000","0.12566","187.55849","0.00619","12.78806","0.12551"
"7.70000","0.12714","189.01758","0.00627","12.88754","0.12699"
"7.80000","0.12871","190.71967","0.00634","13.00359","0.12856"
"7.90000","0.13087","193.36746","0.00645","13.18412","0.13072"
"8.00000","0.13235","194.87639","0.00652","13.28700","0.13220"
"8.10000","0.13381","196.31143","0.00659","13.38485","0.13366"
"8.20000","0.13547","198.30237","0.00668","13.52059","0.13532"
"8.30000","0.13739","200.65701","0.00677","13.68114","0.13724"
"8.40000","0.13882","202.19730","0.00684","13.78615","0.13867"
"8.50000","0.14035","203.68195","0.00692","13.88738","0.14020"
"8.60000","0.14255","206.88704","0.00703","14.10591","0.14240"
"8.70000","0.14399","208.24147","0.00710","14.19826","0.14384"
"8.80000","0.14546","209.72955","0.00717","14.29972","0.14531"
"8.90000","0.14723","211.89328","0.00726","14.44724","0.14708"
"9.00000","0.14895","213.88408","0.00734","14.58298","0.14880"
"9.10000","0.15044","215.57431","0.00741","14.69822","0.15029"
"9.20000","0.15206","217.51030","0.00749","14.83022","0.15191"
"9.30000","0.15424","220.48286","0.00760","15.03290","0.15409"
"9.40000","0.15563","221.87437","0.00767","15.12777","0.15548"
"9.50000","0.15708","223.36890","0.00774","15.22967","0.15693"
"9.60000","0.15890","225.78889","0.00783","15.39467","0.15875"
"9.70000","0.16068","228.00143","0.00792","15.54552","0.16053"
"9.80000","0.16208","229.48990","0.00799","15.64701","0.16193"
"9.90000","0.16374","231.42688","0.00807","15.77908","0.16358"
"10.00000","0.16597","234.66666","0.00818","15.99997","0.16582"
"10.10000","0.16729","235.85002","0.00825","16.08065","0.16714"
"10.20000","0.16876","237.46118","0.00832","16.19051","0.16861"
"10.30000","0.17060","239.86169","0.00841","16.35418","0.17045"
"10.40000","0.17226","241.91737","0.00849","16.49434","0.17211"
"10.50000","0.17377","243.68938","0.00857","16.61516","0.17362"
"10.60000","0.17551","245.92874","0.00865","16.76784","0.17536"
"10.70000","0.17753","248.68858","0.00875","16.95601","0.17738"
"10.80000","0.17890","250.14305","0.00882","17.05518","0.17875"
"10.90000","0.18042","251.89798","0.00889","17.17483","0.18027"
"11.00000","0.18237","254.53619","0.00899","17.35471","0.18222"
"11.10000","0.18391","256.29596","0.00907","17.47469","0.18376"
"11.20000","0.18537","257.99258","0.00914","17.59037","0.18521"
"11.30000","0.18719","260.33743","0.00923","17.75025","0.18704"
"11.40000","0.18917","263.18158","0.00933","17.94417","0.18902"
"11.50000","0.19059","264.58633","0.00940","18.03995","0.19043"
"11.60000","0.19210","266.52512","0.00947","18.17213","0.19195"
"11.70000","0.19401","269.08395","0.00956","18.34660","0.19386"
"11.80000","0.19556","270.74405","0.00964","18.45979","0.19541"
"11.90000","0.19704","272.66840","0.00971","18.59099","0.19689"
"12.00000","0.19895","275.29556","0.00981","18.77012","0.19880"
"12.10000","0.20083","277.84329","0.00990","18.94383","0.20067"
"12.20000","0.20216","279.27686","0.00997","19.04157","0.20201"
"12.30000","0.20373","281.17218","0.01004","19.17080","0.20358"
"12.40000","0.20578","284.22418","0.01014","19.37889","0.20563"
"12.50000","0.20721","285.88965","0.01022","19.49244","0.20706"
"12.60000","0.20868","287.45712","0.01029","19.59931","0.20853"
"12.70000","0.21069","290.59769","0.01039","19.81344","0.21054"
"12.80000","0.21244","292.71619","0.01047","19.95789","0.21229"
"12.90000","0.21383","294.37485","0.01054","20.07098","0.21368"
"13.00000","0.21548","296.46085","0.01062","20.21320","0.21533"
"13.10000","0.21738","299.16537","0.01072","20.39760","0.21723"
"13.20000","0.21884","300.82907","0.01079","20.51104","0.21868"
"13.30000","0.22038","302.79263","0.01087","20.64491","0.22023"
