Specimen properties : Specimen label,"1B"
Test : Rate 1,"1.00000",mm/min
Specimen properties : Thickness,"6.78000",mm
Specimen properties : Width,"10.65000",mm
Specimen properties : Support span,"32.00000",mm
Specimen properties : Fixture type,3-point
Specimen notes : Specimen note 1,""
General : End date,"Thursday, March 27, 2025 8:31:44 PM"

Time,Extension,Load,Flexure strain (Extension),Flexure stress,Flexure extension
(s),(mm),(N),(mm/mm),(MPa),(mm)
"0.00000","0.00015","39.69639","0.00000","3.89209","0.00000"
"0.10000","0.00059","40.49491","0.00002","3.97039","0.00044"
"0.20000","0.00122","41.88166","0.00004","4.10635","0.00107"
"0.30000","0.00347","46.84764","0.00013","4.59325","0.00331"
"0.40000","0.00530","50.95294","0.00020","4.99576","0.00515"
"0.50000","0.00688","54.48732","0.00027","5.34229","0.00673"
"0.60000","0.00905","59.23268","0.00035","5.80756","0.00890"
"0.70000","0.01061","62.36845","0.00042","6.11501","0.01045"
"0.80000","0.01205","65.35045","0.00047","6.40738","0.01189"
"0.90000","0.01365","68.73151","0.00054","6.73889","0.01350"
"1.00000","0.01567","72.96766","0.00062","7.15423","0.01552"
"1.10000","0.01704","75.49667","0.00067","7.40219","0.01689"
"1.20000","0.01856","78.47302","0.00073","7.69401","0.01841"
"1.30000","0.02079","83.09768","0.00082","8.14744","0.02064"
"1.40000","0.02226","85.51492","0.00088","8.38444","0.02211"
"1.50000","0.02371","88.32577","0.00094","8.66004","0.02356"
"1.60000","0.02538","91.21766","0.00100","8.94357","0.02523"
"1.70000","0.02721","94.69907","0.00107","9.28492","0.02706"
"1.80000","0.02871","97.12430","0.00113","9.52270","0.02856"
"1.90000","0.03028","99.68949","0.00120","9.77421","0.03013"
"2.00000","0.03245","103.89065","0.00128","10.18612","0.03229"
"2.10000","0.03387","105.84554","0.00134","10.37779","0.03371"
"2.20000","0.03533","108.15831","0.00140","10.60455","0.03517"
"2.30000","0.03716","111.38617","0.00147","10.92103","0.03701"
"2.40000","0.03889","114.11953","0.00154","11.18902","0.03873"
"2.50000","0.04033","116.22239","0.00160","11.39520","0.04018"
"2.60000","0.04192","118.80980","0.00166","11.64889","0.04177"
"2.70000","0.04414","122.98196","0.00175","12.05795","0.04398"
"2.80000","0.04554","124.77975","0.00180","12.23422","0.04539"
"2.90000","0.04700","126.85214","0.00186","12.43741","0.04685"
"3.00000","0.04882","130.17001","0.00193","12.76272","0.04867"
"3.10000","0.05055","132.97383","0.00200","13.03762","0.05040"
"3.20000","0.05200","135.18797","0.00206","13.25471","0.05185"
"3.30000","0.05368","137.99519","0.00213","13.52995","0.05353"
"3.40000","0.05585","142.12056","0.00221","13.93443","0.05570"
"3.50000","0.05714","143.77135","0.00226","14.09628","0.05699"
"3.60000","0.05861","146.05112","0.00232","14.31981","0.05846"
"3.70000","0.06061","150.06506","0.00240","14.71336","0.06046"
"3.80000","0.06220","152.55977","0.00247","14.95796","0.06205"
"3.90000","0.06366","154.90474","0.00252","15.18787","0.06351"
"4.00000","0.06538","158.07903","0.00259","15.49910","0.06523"
"4.10000","0.06744","162.01064","0.00267","15.88458","0.06729"
"4.20000","0.06882","164.03917","0.00273","16.08347","0.06867"
"4.30000","0.07033","166.61766","0.00279","16.33628","0.07018"
"4.40000","0.07226","170.47881","0.00286","16.71486","0.07211"
"4.50000","0.07380","173.19263","0.00293","16.98094","0.07365"
"4.60000","0.07532","175.80736","0.00299","17.23730","0.07517"
"4.70000","0.07715","179.54150","0.00306","17.60342","0.07700"
"4.80000","0.07907","183.47588","0.00314","17.98917","0.07892"
"4.90000","0.08045","185.72954","0.00319","18.21014","0.08030"
"5.00000","0.08199","188.62643","0.00325","18.49417","0.08184"
"5.10000","0.08406","193.34709","0.00333","18.95701","0.08391"
