Specimen properties : Specimen label,"7"
Test : Rate 1,"1.00000",mm/min
Specimen properties : Thickness,"8.40000",mm
Specimen properties : Width,"10.70000",mm
Specimen properties : Support span,"28.00000",mm
Specimen properties : Fixture type,3-point
Specimen notes : Specimen note 1,""
General : End date,"Monday, April 28, 2025 3:28:52 PM"

Time,Extension,Load,Flexure strain (Extension),Flexure stress,Flexure extension
(s),(mm),(N),(mm/mm),(MPa),(mm)
"0.00000","0.00009","41.23622","0.00000","2.29396","0.00000"
"0.10000","0.00053","41.45172","0.00003","2.30595","0.00044"
"0.20000","0.00114","42.15968","0.00007","2.34533","0.00105"
"0.30000","0.00326","44.13412","0.00020","2.45517","0.00317"
"0.40000","0.00513","45.85722","0.00032","2.55102","0.00504"
"0.50000","0.00675","47.43995","0.00043","2.63907","0.00666"
"0.60000","0.00889","49.36609","0.00057","2.74622","0.00880"
"0.70000","0.01051","50.67673","0.00067","2.81913","0.01042"
"0.80000","0.01190","52.01003","0.00076","2.89330","0.01181"
"0.90000","0.01353","53.41174","0.00086","2.97128","0.01345"
"1.00000","0.01555","55.13205","0.00099","3.06698","0.01546"
"1.10000","0.01690","56.29169","0.00108","3.13149","0.01681"
"1.20000","0.01844","57.61541","0.00118","3.20513","0.01835"
"1.30000","0.02067","59.65948","0.00132","3.31884","0.02059"
"1.40000","0.02216","60.82376","0.00142","3.38361","0.02207"
"1.50000","0.02353","61.83654","0.00151","3.43995","0.02345"
"1.60000","0.02529","63.39551","0.00162","3.52668","0.02520"
"1.70000","0.02709","64.84451","0.00174","3.60728","0.02700"
"1.80000","0.02857","66.16253","0.00183","3.68060","0.02848"
"1.90000","0.03019","67.31235","0.00194","3.74457","0.03010"
"2.00000","0.03236","69.10545","0.00207","3.84432","0.03227"
"2.10000","0.03376","70.10281","0.00216","3.89980","0.03368"
"2.20000","0.03518","70.91588","0.00226","3.94503","0.03509"
"2.30000","0.03704","72.33804","0.00238","4.02415","0.03696"
"2.40000","0.03875","73.60912","0.00249","4.09486","0.03866"
"2.50000","0.04017","74.49834","0.00258","4.14432","0.04008"
"2.60000","0.04181","75.60721","0.00268","4.20601","0.04172"
"2.70000","0.04401","77.41527","0.00282","4.30659","0.04392"
"2.80000","0.04540","78.14538","0.00291","4.34721","0.04531"
"2.90000","0.04687","79.07639","0.00301","4.39900","0.04678"
"3.00000","0.04873","80.33198","0.00313","4.46885","0.04864"
"3.10000","0.05041","81.35361","0.00323","4.52568","0.05032"
"3.20000","0.05186","82.16151","0.00333","4.57062","0.05177"
"3.30000","0.05353","83.32777","0.00344","4.63550","0.05344"
"3.40000","0.05571","84.77601","0.00358","4.71607","0.05562"
"3.50000","0.05700","85.26304","0.00366","4.74316","0.05691"
"3.60000","0.05851","86.20014","0.00376","4.79529","0.05842"
"3.70000","0.06050","87.51242","0.00388","4.86829","0.06041"
"3.80000","0.06204","88.32553","0.00398","4.91353","0.06195"
"3.90000","0.06351","89.16033","0.00408","4.95997","0.06342"
"4.00000","0.06527","90.36581","0.00419","5.02703","0.06518"
"4.10000","0.06735","91.71467","0.00432","5.10206","0.06726"
"4.20000","0.06867","92.14851","0.00441","5.12620","0.06858"
"4.30000","0.07020","93.03995","0.00451","5.17579","0.07012"
"4.40000","0.07218","94.43127","0.00463","5.25319","0.07209"
"4.50000","0.07368","95.07156","0.00473","5.28881","0.07359"
"4.60000","0.07518","95.94684","0.00483","5.33750","0.07509"
"4.70000","0.07704","97.14397","0.00495","5.40409","0.07696"
"4.80000","0.07896","98.33733","0.00507","5.47048","0.07887"
"4.90000","0.08030","98.91759","0.00516","5.50276","0.08021"
"5.00000","0.08185","99.77603","0.00526","5.55051","0.08177"
"5.10000","0.08398","101.31561","0.00539","5.63616","0.08390"
"5.20000","0.08528","101.75005","0.00548","5.66033","0.08519"
"5.30000","0.08675","102.53139","0.00557","5.70379","0.08666"
